step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,27.81,82.72,1.164376,1.069585,0.5427,0.5051,0.4957,0.5119,0.5076,39.35,11171279289600.0,0.497
200,28.12,106.22,0.953183,1.03211,0.5716,0.5236,0.5128,0.5192,0.5389,76.29,22009115059200.0,0.497
300,29.66,88.06,0.9333,1.016449,0.5723,0.5218,0.5097,0.5322,0.5235,113.26,33087304742400.0,0.504
400,29.81,92.66,0.865222,1.013586,0.5762,0.5213,0.5142,0.5219,0.5279,150.24,44286058886400.0,0.502
500,30.81,111.16,1.172797,1.008766,0.5742,0.5235,0.509,0.5288,0.5328,187.21,55381776710400.0,0.504
600,29.84,98.5,0.847785,1.003565,0.5777,0.5258,0.5165,0.524,0.5368,224.25,66392246246400.0,0.504
700,32.16,93.22,0.980534,0.996438,0.5761,0.534,0.5403,0.5274,0.5344,261.33,77544123724800.0,0.509
800,29.75,100.59,0.93443,0.991882,0.5811,0.5441,0.5611,0.5391,0.5319,299.17,88595810035200.0,0.499
900,34.22,101.72,0.913966,0.988459,0.5827,0.5486,0.576,0.5378,0.5319,337.03,99750006144000.0,0.51
1000,32.47,98.94,0.763162,0.985884,0.5843,0.55,0.5807,0.5298,0.5394,374.89,110864853792000.0,0.504
1100,30.22,102.78,1.104682,0.981822,0.5841,0.5502,0.5741,0.5334,0.5432,412.56,121795884403200.0,0.5
1200,34.06,102.34,0.889536,0.979977,0.586,0.5545,0.5756,0.539,0.5488,450.42,132918619852800.0,0.497
1300,26.84,90.25,0.963448,0.977305,0.5872,0.558,0.5795,0.5451,0.5494,488.5,143970729004800.0,0.51
1400,30.44,98.16,0.995884,0.974493,0.5869,0.5649,0.5767,0.5583,0.5598,527.11,155196639878400.0,0.51
1500,33.25,111.84,0.931842,0.971662,0.5894,0.5761,0.587,0.5778,0.5635,564.57,166136802969600.0,0.51
1600,31.66,94.78,1.065132,0.96649,0.5922,0.58,0.5932,0.5896,0.5573,601.67,177210887443200.0,0.51
1700,28.75,101.62,0.963529,0.963088,0.5956,0.5812,0.5949,0.5976,0.5512,638.67,188280437817600.0,0.51
1800,25.22,109.47,0.93675,0.960553,0.5975,0.5857,0.6033,0.6011,0.5528,675.79,199457797766400.0,0.51
1900,31.59,91.19,1.053789,0.957627,0.597,0.5862,0.6056,0.5982,0.5547,712.93,210603349555200.0,0.504
2000,33.25,84.19,0.869321,0.956233,0.5967,0.584,0.5989,0.5974,0.5557,750.02,221669247801600.0,0.497
2100,32.09,108.06,0.844286,0.953901,0.5979,0.5857,0.599,0.5999,0.5582,787.06,232599547641600.0,0.5
2200,28.66,95.28,0.946183,0.951293,0.6028,0.5899,0.6032,0.6049,0.5617,824.11,243616817203200.0,0.504
2300,35.25,97.44,0.959505,0.949479,0.6033,0.5965,0.6081,0.6115,0.5699,861.31,254732012524800.0,0.509
2400,34.75,97.59,0.779138,0.947252,0.6025,0.598,0.6126,0.6155,0.5659,898.59,265900794854400.0,0.51
2500,28.91,103.66,0.859198,0.945313,0.6037,0.5975,0.6121,0.6152,0.5652,935.66,276695861068800.0,0.492
