step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,27.81,1.163592,0.963999,0.6019,0.496,0.4782,0.5118,0.498,30.17,222532128000.0,0.548
200,28.12,0.964447,0.944373,0.6103,0.5124,0.5148,0.5249,0.4975,59.52,444893760000.0,0.547
300,29.66,0.939658,0.934997,0.6064,0.5236,0.5303,0.5204,0.5201,88.91,667379289600.0,0.555
400,29.81,0.860652,0.928069,0.617,0.5289,0.5337,0.5237,0.5293,118.3,889928352000.0,0.552
500,30.81,1.140471,0.925859,0.6124,0.5298,0.5291,0.5221,0.5383,147.67,1112422176000.0,0.555
600,29.84,0.851748,0.924127,0.6128,0.533,0.5347,0.5293,0.5348,177.06,1334873548800.0,0.555
700,32.16,0.981576,0.922138,0.6164,0.5375,0.5508,0.5327,0.529,206.44,1557394560000.0,0.559
800,29.75,0.929747,0.918435,0.6155,0.5383,0.5564,0.5351,0.5236,235.83,1779867302400.0,0.549
900,34.22,0.910782,0.914975,0.6152,0.5389,0.5632,0.5347,0.5188,265.21,2002392000000.0,0.56
1000,32.47,0.753933,0.912211,0.6186,0.5405,0.5714,0.5378,0.5122,294.59,2224897171200.0,0.555
1100,30.22,1.094767,0.90965,0.6205,0.5485,0.581,0.5481,0.5165,323.96,2447307417600.0,0.55
1200,34.06,0.883057,0.906077,0.6212,0.5662,0.5992,0.5664,0.5331,353.35,2669817715200.0,0.547
1300,26.84,0.970501,0.9011,0.6247,0.5795,0.6122,0.5819,0.5443,382.71,2892290745600.0,0.56
1400,30.44,0.997998,0.897118,0.6273,0.5829,0.6095,0.5888,0.5505,412.08,3114851155200.0,0.56
1500,33.25,0.932639,0.895251,0.6264,0.5834,0.6054,0.588,0.5567,441.4,3337264627200.0,0.56
1600,31.66,1.066597,0.893753,0.6263,0.5856,0.6067,0.5904,0.5597,470.69,3559748371200.0,0.56
1700,28.75,0.957349,0.893313,0.6283,0.5826,0.6012,0.5966,0.5502,499.98,3782233094400.0,0.56
1800,25.22,0.941108,0.893361,0.6265,0.5815,0.5954,0.599,0.5501,529.3,4004769312000.0,0.56
1900,31.59,1.057113,0.89286,0.6259,0.5825,0.5962,0.599,0.5522,558.61,4227289459200.0,0.555
2000,33.25,0.866547,0.891374,0.6277,0.5842,0.5962,0.6011,0.5553,587.91,4449768134400.0,0.548
2100,32.09,0.841919,0.890207,0.6298,0.587,0.5973,0.6031,0.5607,617.19,4672178208000.0,0.55
2200,28.66,0.949742,0.88933,0.6296,0.5888,0.6027,0.6007,0.5629,646.99,4894634188800.0,0.555
2300,35.25,0.95816,0.887476,0.6306,0.5915,0.6047,0.6044,0.5656,676.22,5117140166400.0,0.559
2400,34.75,0.773593,0.885599,0.6305,0.5949,0.6089,0.607,0.5688,705.45,5339671372800.0,0.56
2500,28.91,0.862477,0.884615,0.6309,0.5951,0.6148,0.6036,0.5669,734.67,5562012211200.0,0.543
