step,mean_features,mean_classes,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.0,2.0,0.485068,3.322585,0.4864,0.5031,0.4963,0.4864,0.5267,30.31,222468998400.0,0.558
200,32.34,2.0,0.517048,3.265593,0.4879,0.5089,0.5024,0.4975,0.5268,61.47,444947558400.0,0.558
300,29.97,2.0,0.545656,3.289231,0.4905,0.5206,0.5092,0.5247,0.5279,92.63,667454457600.0,0.555
400,32.56,2.0,0.471773,3.498626,0.4896,0.5302,0.5053,0.5368,0.5485,122.09,889897075200.0,0.558
500,36.44,2.0,0.517063,3.579703,0.4936,0.5346,0.5041,0.5341,0.5657,151.53,1112439974400.0,0.558
600,31.97,2.0,0.540513,3.551651,0.4947,0.5371,0.5041,0.5362,0.5711,181.36,1334922336000.0,0.555
700,28.94,2.0,0.44014,3.645467,0.498,0.5408,0.5114,0.5364,0.5746,213.81,1557436838400.0,0.555
800,31.62,2.0,0.521677,3.711139,0.5033,0.5448,0.5149,0.5433,0.5762,248.96,1779967584000.0,0.548
900,29.91,2.0,0.50016,3.817691,0.5013,0.5451,0.5215,0.542,0.5718,283.73,2002309689600.0,0.55
1000,27.91,2.0,0.489724,3.970381,0.5016,0.5461,0.5304,0.5388,0.5691,318.32,2224812787200.0,0.558
1100,33.69,2.0,0.498011,4.025241,0.5007,0.5405,0.5352,0.5194,0.567,352.28,2447400614400.0,0.558
1200,29.12,2.0,0.482607,4.135115,0.501,0.5417,0.5334,0.5202,0.5714,381.97,2669935564800.0,0.555
1300,30.47,2.0,0.467525,4.166579,0.5013,0.5425,0.5357,0.5215,0.5704,411.98,2892326803200.0,0.558
1400,29.94,2.06,0.630471,4.128772,0.5013,0.5375,0.532,0.5147,0.5658,441.98,3114773280000.0,0.548
1500,32.47,3.0,0.829167,1.953757,0.5028,0.5316,0.5103,0.5166,0.5679,472.01,3337222464000.0,0.543
1600,24.91,4.0,1.228476,1.665194,0.545,0.5392,0.5295,0.5154,0.5726,501.94,3559689216000.0,0.558
1700,29.91,4.0,1.070703,1.441408,0.5413,0.5337,0.5119,0.524,0.5651,531.66,3782143180800.0,0.555
1800,30.34,5.0,1.368291,1.346549,0.5504,0.5302,0.517,0.5188,0.5549,561.8,4004688787200.0,0.558
1900,38.72,6.0,1.659373,1.334483,0.5459,0.5339,0.5303,0.5227,0.5488,591.72,4227193382400.0,0.555
2000,30.0,6.0,1.564948,1.263228,0.5565,0.5371,0.5329,0.5186,0.5598,621.57,4449651091200.0,0.558
2100,35.19,7.0,1.75029,1.211233,0.5581,0.5403,0.5329,0.5143,0.5738,651.2,4672087142400.0,0.551
2200,35.69,8.0,1.944437,1.19366,0.5626,0.5372,0.5307,0.5068,0.5742,681.08,4894672089600.0,0.554
2300,34.31,9.0,2.242812,1.182769,0.5713,0.539,0.5346,0.5144,0.5678,710.95,5117079974400.0,0.558
2400,32.16,9.0,2.049593,1.168733,0.5691,0.5369,0.5376,0.5103,0.5626,740.84,5339542694400.0,0.543
2500,29.16,10.0,2.141784,1.149982,0.5726,0.5394,0.5414,0.5146,0.5622,770.78,5562012211200.0,0.548
