step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,10.59,4.22,158.47,1.118265,0.964803,0.5965,0.4905,0.4915,0.4771,0.5028,29.27,218148710400.0,0.222
200,12.25,4.41,144.19,1.162087,0.94617,0.6083,0.5174,0.527,0.5156,0.5096,57.87,437071680000.0,0.265
300,12.84,3.59,131.25,0.906561,0.939257,0.6153,0.5085,0.49,0.5056,0.5299,86.6,656557574400.0,0.315
400,21.97,4.09,144.22,1.02629,0.93407,0.6096,0.5173,0.5212,0.5178,0.5129,115.25,876533011200.0,0.345
500,18.0,3.75,122.47,0.931196,0.929184,0.6132,0.5238,0.5374,0.5158,0.518,143.88,1096830720000.0,0.377
600,28.84,3.44,142.41,0.956635,0.926188,0.6143,0.5266,0.5389,0.5289,0.5119,172.57,1317523680000.0,0.412
700,25.97,3.38,125.88,0.8213,0.921563,0.6144,0.5274,0.5448,0.5387,0.4985,201.29,1538527968000.0,0.434
800,24.22,3.72,112.88,0.928794,0.916709,0.6138,0.5249,0.5455,0.5257,0.5035,230.09,1759790016000.0,0.457
900,35.91,4.72,137.09,1.162785,0.916161,0.6143,0.5328,0.5572,0.5259,0.5154,258.85,1981373068800.0,0.49
1000,34.12,4.06,124.75,1.006662,0.916109,0.6128,0.5325,0.5577,0.535,0.5048,287.75,2203200633600.0,0.499
1100,23.91,4.38,89.66,1.046308,0.914099,0.6137,0.5376,0.5633,0.5464,0.5029,316.75,2425209523200.0,0.525
1200,34.12,3.81,111.0,0.938518,0.912109,0.6145,0.5454,0.5693,0.5577,0.5092,345.57,2647532793600.0,0.543
1300,31.16,4.69,96.31,1.176373,0.910464,0.6157,0.5511,0.5755,0.5586,0.5193,374.34,2870000582400.0,0.558
1400,31.34,4.06,90.31,0.997623,0.906644,0.6188,0.5557,0.5781,0.5654,0.5235,403.17,3092698886400.0,0.549
1500,28.91,3.25,76.66,0.847838,0.902787,0.6228,0.575,0.6019,0.5766,0.5466,431.99,3315674361600.0,0.536
1600,41.91,3.53,104.81,0.922279,0.899571,0.6233,0.5814,0.6055,0.5849,0.5539,460.84,3538811289600.0,0.522
1700,34.0,4.41,75.34,1.028082,0.89733,0.6249,0.5831,0.601,0.5883,0.5601,489.64,3762208166400.0,0.51
1800,41.16,3.59,86.81,0.810794,0.897086,0.6248,0.5831,0.5952,0.5896,0.5644,518.5,3985895116800.0,0.5
1900,42.19,4.34,80.59,0.995731,0.896801,0.6249,0.5837,0.5884,0.5937,0.569,547.38,4209885158400.0,0.49
2000,38.88,3.31,62.06,0.849203,0.896502,0.6244,0.5847,0.5861,0.5938,0.5742,576.33,4434121440000.0,0.483
2100,51.53,3.97,85.97,0.9379,0.896924,0.6259,0.5821,0.5763,0.5921,0.5778,605.28,4658737766400.0,0.47
2200,47.25,3.62,62.19,0.842139,0.897805,0.6238,0.5806,0.5755,0.5874,0.5787,634.55,4883754988800.0,0.461
2300,49.91,3.78,55.31,0.953483,0.89721,0.6244,0.5808,0.5735,0.5899,0.5791,663.41,5109199372800.0,0.452
2400,51.19,3.97,40.41,0.963308,0.897661,0.6213,0.5801,0.5737,0.5862,0.5805,692.31,5335201382400.0,0.442
2500,59.59,4.88,21.47,1.188298,0.898178,0.621,0.5792,0.5774,0.5832,0.577,721.12,5562012211200.0,0.43
