step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.69,3.56,173.0,1.045899,1.038884,0.5591,0.5063,0.5085,0.5091,0.5014,30.1,222483283200.0,0.558
200,28.91,4.56,167.0,1.185901,1.013365,0.5606,0.5163,0.5201,0.5062,0.5227,60.36,444952339200.0,0.546
300,26.88,3.56,160.0,0.927812,0.999363,0.5724,0.5202,0.5175,0.5111,0.532,90.67,667384704000.0,0.535
400,33.78,3.03,154.0,0.765931,0.993816,0.5733,0.5284,0.5223,0.5205,0.5423,121.0,889895174400.0,0.52
500,27.25,3.72,147.0,0.917122,0.99014,0.5748,0.5638,0.5458,0.5745,0.5711,151.37,1112392972800.0,0.509
600,31.12,3.72,141.0,0.88955,0.981443,0.5751,0.5663,0.5502,0.5712,0.5774,181.7,1334857363200.0,0.5
700,31.81,3.94,134.0,1.04445,0.971662,0.5885,0.5782,0.5699,0.585,0.5797,210.96,1557373420800.0,0.493
800,32.12,3.34,128.0,0.805974,0.965056,0.5916,0.5856,0.5754,0.5995,0.582,240.58,1779787929600.0,0.489
900,28.5,4.0,122.0,0.94948,0.964638,0.5928,0.5907,0.5802,0.6027,0.589,270.85,2002286016000.0,0.483
1000,28.22,4.06,115.0,0.954483,0.965726,0.5922,0.5879,0.57,0.6043,0.5894,301.14,2224717920000.0,0.475
1100,29.25,3.81,109.0,0.947508,0.964078,0.5905,0.5881,0.5725,0.6008,0.591,331.46,2447138419200.0,0.468
1200,28.72,4.16,103.0,1.012585,0.960528,0.5928,0.592,0.5729,0.6096,0.5935,361.17,2669602233600.0,0.461
1300,32.06,4.31,96.0,1.023148,0.955443,0.5939,0.5959,0.5748,0.6135,0.5993,391.46,2892052281600.0,0.458
1400,30.78,3.88,90.0,0.948027,0.953223,0.5953,0.5981,0.573,0.618,0.6034,420.5,3114523929600.0,0.451
1500,29.38,3.47,83.0,0.854697,0.951593,0.5954,0.5973,0.5688,0.622,0.6012,450.8,3336998572800.0,0.45
1600,31.72,3.22,77.0,0.713273,0.951334,0.5962,0.5986,0.569,0.6264,0.6005,480.7,3559418553600.0,0.441
1700,26.38,3.34,71.0,0.781795,0.949587,0.5976,0.5986,0.5704,0.6226,0.6029,511.0,3781942444800.0,0.436
1800,29.81,4.19,64.0,0.964453,0.948265,0.5986,0.5954,0.5672,0.6171,0.602,540.58,4004537587200.0,0.431
1900,32.5,3.5,58.0,0.854349,0.947058,0.5995,0.5934,0.5634,0.6158,0.601,570.89,4227022483200.0,0.429
2000,26.59,4.19,51.0,1.016518,0.945551,0.5997,0.5917,0.5571,0.616,0.6019,601.44,4449569472000.0,0.427
2100,28.47,3.78,45.0,0.870039,0.9447,0.5977,0.5897,0.5568,0.6135,0.5988,632.0,4672051027200.0,0.422
2200,36.5,3.28,39.0,0.871294,0.944657,0.5963,0.588,0.5531,0.6128,0.5983,662.21,4894615756800.0,0.408
2300,26.84,3.75,32.0,0.862572,0.945693,0.596,0.5823,0.5466,0.6023,0.5981,692.34,5117073523200.0,0.401
2400,29.12,4.25,26.0,1.011592,0.948312,0.596,0.5773,0.5429,0.5931,0.5958,722.48,5339468736000.0,0.395
2500,36.78,4.34,20.0,1.097119,0.952325,0.5918,0.5718,0.5422,0.5826,0.5906,752.56,5562012211200.0,0.389
