step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,0.876334,1.085073,0.5388,0.5089,0.5083,0.5096,0.5089,28.5,217340294400.0,0.114
200,7.0,1.020695,1.048462,0.5535,0.5231,0.51,0.5229,0.5363,56.65,435111724800.0,0.17
300,9.0,0.947916,1.028503,0.564,0.5187,0.518,0.5097,0.5285,84.8,653305132800.0,0.17
400,11.0,0.991855,1.009317,0.5677,0.5492,0.5452,0.5454,0.557,113.05,871915219200.0,0.17
500,14.0,1.006434,0.994058,0.5748,0.5751,0.5541,0.5863,0.585,141.66,1090956787200.0,0.188
600,16.0,1.03107,0.979866,0.5795,0.5875,0.5524,0.6048,0.6053,170.1,1310439859200.0,0.205
700,18.0,0.908496,0.974176,0.585,0.5921,0.5667,0.6094,0.6003,198.59,1530345024000.0,0.222
800,21.0,1.134889,0.966129,0.5885,0.5914,0.5746,0.6061,0.5937,227.09,1750681900800.0,0.245
900,23.0,1.079401,0.961295,0.5932,0.5929,0.5767,0.6109,0.591,255.66,1971461664000.0,0.258
1000,25.0,0.982077,0.958684,0.5953,0.5938,0.58,0.6102,0.5911,284.27,2192657241600.0,0.276
1100,28.0,0.90477,0.95935,0.5928,0.5964,0.584,0.6131,0.5921,312.88,2414281824000.0,0.297
1200,30.0,1.044644,0.959366,0.5907,0.5981,0.5861,0.615,0.5934,341.54,2636338348800.0,0.319
1300,32.0,1.066662,0.958772,0.5921,0.6004,0.5892,0.6187,0.5933,370.2,2858811091200.0,0.328
1400,35.0,0.991878,0.959509,0.5897,0.6037,0.5898,0.623,0.5983,398.91,3081709267200.0,0.352
1500,37.0,1.001628,0.957391,0.5908,0.6035,0.5886,0.6239,0.598,427.63,3305062713600.0,0.371
1600,39.0,0.948518,0.955419,0.5962,0.6027,0.5847,0.6221,0.6012,456.33,3528828921600.0,0.387
1700,42.0,1.049713,0.954103,0.5974,0.6022,0.584,0.6175,0.6052,485.09,3753018950400.0,0.407
1800,44.0,0.831394,0.952352,0.5989,0.5987,0.5759,0.6165,0.6039,513.87,3977661254400.0,0.425
1900,46.0,0.853228,0.954473,0.5959,0.5987,0.573,0.6187,0.6043,542.67,4202717702400.0,0.44
2000,48.0,0.842766,0.958266,0.5935,0.5986,0.5719,0.6203,0.6037,571.45,4428190137600.0,0.458
2100,51.0,0.807504,0.960353,0.5932,0.5986,0.568,0.6216,0.606,600.5,4654111564800.0,0.489
2200,53.0,0.924884,0.962943,0.5933,0.6004,0.5658,0.6239,0.6115,629.66,4880453184000.0,0.501
2300,55.0,0.910771,0.968128,0.5937,0.601,0.5656,0.6252,0.6124,658.5,5107213440000.0,0.518
2400,58.0,1.042135,0.970349,0.5924,0.6007,0.565,0.6251,0.6118,687.47,5334401664000.0,0.541
2500,60.0,0.919539,0.970143,0.5902,0.6025,0.5691,0.6244,0.614,716.54,5562012211200.0,0.56
