step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,9.0,1.189393,1.072346,0.555,0.5226,0.5292,0.5052,0.5335,28.9,217768262400.0,0.151
200,16.0,1.043613,1.032767,0.5539,0.528,0.5153,0.5317,0.537,57.63,436812998400.0,0.207
300,23.0,1.031651,1.013452,0.5591,0.5303,0.5088,0.5416,0.5406,86.57,657153504000.0,0.255
400,30.0,0.916245,1.006472,0.5677,0.5385,0.518,0.5418,0.5557,115.64,878778950400.0,0.318
500,37.0,0.94856,1.006565,0.5677,0.5448,0.5341,0.5298,0.5706,144.79,1101686976000.0,0.368
600,44.0,0.852736,1.009374,0.567,0.5571,0.5437,0.5449,0.5826,173.99,1325886336000.0,0.427
700,51.0,0.820113,1.006531,0.5693,0.5637,0.5485,0.5538,0.5888,203.22,1551369657600.0,0.49
800,58.0,0.893506,1.004369,0.5729,0.5687,0.5513,0.5636,0.5911,232.49,1778132851200.0,0.54
900,7.0,0.981504,0.981477,0.5852,0.5755,0.5546,0.5786,0.5932,261.31,1999041235200.0,0.56
1000,13.94,0.981715,0.98438,0.585,0.578,0.5622,0.5806,0.591,290.05,2217656102400.0,0.186
1100,21.0,1.110643,0.975924,0.5882,0.5828,0.5684,0.5866,0.5935,318.99,2437564262400.0,0.245
1200,27.91,0.792443,0.96926,0.5912,0.585,0.5678,0.5893,0.5978,348.05,2658764044800.0,0.297
1300,34.59,1.07674,0.965804,0.5929,0.5874,0.5679,0.592,0.6022,377.24,2881239782400.0,0.352
1400,41.56,1.211594,0.965948,0.5916,0.5874,0.5674,0.5919,0.6027,406.51,3105009561600.0,0.408
1500,48.0,0.873658,0.968193,0.5922,0.5884,0.5679,0.5922,0.6052,435.82,3330066528000.0,0.458
1600,55.0,0.919323,0.972814,0.5907,0.5891,0.5652,0.5957,0.6066,465.17,3556407513600.0,0.518
1700,4.0,0.875407,0.96636,0.591,0.5898,0.5661,0.5941,0.6091,494.27,3780455961600.0,0.561
1800,11.0,0.886016,0.961095,0.5903,0.5903,0.5642,0.5961,0.6106,522.94,3998647526400.0,0.17
1900,18.0,0.711284,0.958868,0.5933,0.5916,0.5646,0.5972,0.6131,551.92,4218124032000.0,0.22
2000,25.0,0.932295,0.957095,0.5957,0.5972,0.5712,0.6014,0.6192,581.25,4438894694400.0,0.276
2100,32.0,0.890554,0.954911,0.5963,0.5992,0.5747,0.6026,0.6202,610.48,4660945804800.0,0.327
2200,39.0,0.856406,0.953539,0.5985,0.603,0.5806,0.6069,0.6214,640.09,4884284908800.0,0.386
2300,46.0,0.910907,0.952972,0.5989,0.6036,0.5814,0.6098,0.6196,669.32,5108914368000.0,0.443
2400,53.0,1.0907,0.954119,0.5982,0.6026,0.5796,0.6103,0.6179,698.6,5334826003200.0,0.499
2500,60.0,0.972155,0.955391,0.5979,0.6028,0.5787,0.6121,0.6177,727.86,5562012211200.0,0.561
