step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,34.12,95.38,0.954501,1.066313,0.5546,0.4988,0.4784,0.5038,0.5141,197.56,10955664979200.0,0.496
200,27.97,95.88,1.204786,1.032416,0.5627,0.534,0.5482,0.5203,0.5337,404.95,22024568390400.0,0.508
300,31.47,112.44,0.983452,1.015366,0.5705,0.5358,0.5248,0.5267,0.5559,632.53,32973564672000.0,0.508
400,30.0,98.19,0.996079,1.008975,0.5741,0.5334,0.5349,0.5236,0.5418,849.81,43975301587200.0,0.505
500,33.62,90.56,0.791971,1.005476,0.5754,0.5372,0.5299,0.5295,0.5521,1069.65,55034481888000.0,0.508
600,25.59,90.22,0.756948,0.999546,0.5742,0.5427,0.5361,0.5347,0.5574,1289.16,66220636492800.0,0.505
700,31.59,96.66,0.898144,0.994191,0.5759,0.5575,0.5662,0.541,0.5654,1504.65,77315353977600.0,0.505
800,31.25,97.09,0.811323,0.98955,0.5784,0.5752,0.584,0.5672,0.5743,1717.48,88461328953600.0,0.507
900,31.81,91.41,0.978406,0.982323,0.5849,0.5863,0.5941,0.5868,0.5781,1930.69,99440644896000.0,0.505
1000,34.16,99.03,0.919213,0.975604,0.582,0.5865,0.5958,0.5812,0.5826,2145.69,110390900716800.0,0.499
1100,33.81,105.81,0.839658,0.972651,0.5876,0.5908,0.6008,0.588,0.5837,2359.14,121331647008000.0,0.505
1200,33.28,95.25,1.133033,0.969422,0.5892,0.5911,0.605,0.5861,0.5823,2569.09,132376184582400.0,0.508
1300,31.44,101.59,1.10853,0.9663,0.5905,0.5927,0.6068,0.5867,0.5847,2782.53,143480932934400.0,0.494
1400,36.97,86.06,0.904497,0.963598,0.5915,0.5944,0.6028,0.595,0.5854,2999.71,154647624384000.0,0.505
1500,29.38,94.5,0.938755,0.960994,0.5931,0.5992,0.6023,0.603,0.5922,3217.22,165883688985600.0,0.494
1600,31.5,97.47,0.96065,0.958172,0.5943,0.6022,0.608,0.61,0.5887,3435.51,176905079827200.0,0.508
1700,29.41,99.41,0.864837,0.955724,0.5982,0.6034,0.6096,0.6131,0.5875,3659.78,187982268998400.0,0.508
1800,31.72,96.5,0.847103,0.954189,0.5984,0.604,0.6129,0.613,0.586,3873.54,199037803219200.0,0.497
1900,34.5,104.75,0.803399,0.953195,0.5983,0.6049,0.6147,0.6166,0.5835,4091.16,210281868115200.0,0.508
2000,28.12,96.44,0.892724,0.95098,0.5995,0.605,0.6135,0.6186,0.5829,4304.97,221260756032000.0,0.496
2100,35.62,103.91,0.895324,0.948964,0.6008,0.6049,0.6139,0.6197,0.581,4518.88,232437235564800.0,0.508
2200,36.31,98.09,1.039478,0.947782,0.6036,0.606,0.6168,0.6201,0.581,4736.64,243815474131200.0,0.508
2300,31.44,99.44,0.76709,0.945862,0.6067,0.6063,0.6133,0.6211,0.5847,4953.35,254913158073600.0,0.5
2400,35.0,102.62,0.83849,0.944992,0.6076,0.6046,0.6052,0.6209,0.5876,5173.66,265977139622400.0,0.505
2500,32.59,109.5,0.673608,0.943645,0.6068,0.6058,0.6043,0.6217,0.5913,5389.16,277023537561600.0,0.505
