trial,lr,num_datapoints,baseline_name,curriculum_name
0,0.00531856,56,paper_binary_hp0_s44,early_ramp_hp0_s44
1,0.0100328,112,paper_binary_hp1_s44,early_ramp_hp1_s44
2,0.000400349,238,paper_binary_hp2_s44,early_ramp_hp2_s44
3,0.000189074,239,paper_binary_hp3_s44,early_ramp_hp3_s44
4,0.0255838,72,paper_binary_hp4_s44,early_ramp_hp4_s44
5,0.00392393,58,paper_binary_hp5_s44,early_ramp_hp5_s44
6,0.000120343,105,paper_binary_hp6_s44,early_ramp_hp6_s44
7,0.000424566,204,paper_binary_hp7_s44,early_ramp_hp7_s44
8,0.000117929,100,paper_binary_hp8_s44,early_ramp_hp8_s44
9,0.00856082,229,paper_binary_hp9_s44,early_ramp_hp9_s44
