scenario,n_seeds,val_loss_mean,val_loss_std,val_acc_mean,roc_auc_mean,roc_auc_std
baseline,3,0.959,0.2487,0.6092,0.5238,0.0103
baseline_e50,3,0.9315,0.2411,0.6188,0.5614,0.0137
curriculum_classes,3,1.009,0.2768,0.574,0.5325,0.0173
curriculum_classes_e50,3,0.96,0.2585,0.6031,0.5595,0.0129
curriculum_combined,3,1.0084,0.2773,0.5585,0.5355,0.003
curriculum_combined_e50,3,0.9724,0.2676,0.5897,0.7299,0.0605
curriculum_combined_slow,3,1.0009,0.2763,0.5833,0.528,0.0179
curriculum_combined_slow_e50,3,0.9527,0.2591,0.6202,0.722,0.0672
curriculum_features,3,0.9603,0.2558,0.601,0.5345,0.0198
curriculum_features_e50,3,0.9285,0.2407,0.6283,0.5798,0.0115
curriculum_noise,3,0.963,0.2558,0.6003,0.5431,0.0109
curriculum_noise_e50,3,0.9362,0.2392,0.6144,0.555,0.0024
curriculum_reverse,3,1.1335,0.3393,0.5582,0.5486,0.0152
curriculum_reverse_e50,3,1.1691,0.3454,0.5888,0.6324,0.0117
curriculum_rows,3,0.9719,0.2606,0.5979,0.5274,0.032
curriculum_rows_e50,3,0.9385,0.2481,0.6251,0.5721,0.0021
