epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,9.875,9.875,1.456120,1.876
2,8.430,18.305,1.039579,1.680
3,8.243,26.548,1.113838,1.744
4,7.921,34.469,1.108631,1.901
5,8.234,42.703,1.088080,1.834
6,8.651,51.355,1.040095,1.858
7,8.538,59.893,1.103160,1.898
8,8.462,68.355,1.098787,1.818
9,8.104,76.458,1.037395,1.773
10,8.737,85.195,1.108060,1.801
11,7.962,93.158,0.971583,1.680
12,9.299,102.456,1.057972,1.838
13,8.260,110.717,1.108561,1.775
14,8.758,119.475,1.130180,1.724
15,7.927,127.401,1.004686,1.722
16,8.607,136.008,1.030209,1.801
17,9.005,145.012,1.106216,1.916
18,8.757,153.769,1.005458,1.798
19,8.962,162.731,0.998862,1.850
20,8.126,170.857,0.962883,1.802
