step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,98.020,98.020,1.178893,57.443
200,99.268,197.288,1.032741,61.266
300,96.700,293.988,1.016174,62.430
400,94.395,388.383,1.019353,65.502
500,98.569,486.953,0.978994,61.522
600,82.879,569.832,0.969482,64.395
700,95.116,664.948,0.991217,60.666
800,87.697,752.645,0.959593,59.310
900,96.954,849.599,0.963268,61.763
1000,97.286,946.884,0.973633,61.887
1100,93.583,1040.467,0.952759,60.501
1200,95.058,1135.525,0.945935,61.490
1300,92.179,1227.704,0.944820,57.458
1400,90.097,1317.801,0.948822,61.281
1500,84.276,1402.077,0.954426,62.445
1600,84.188,1486.264,0.970913,65.517
1700,87.102,1573.366,0.941248,61.537
1800,75.946,1649.312,0.935762,64.410
1900,85.087,1734.399,0.961324,60.681
2000,78.129,1812.528,0.937689,59.325
2100,88.253,1900.782,0.943936,61.778
2200,88.129,1988.910,0.958024,61.902
2300,82.593,2071.504,0.935156,60.516
2400,84.121,2155.625,0.930990,61.505
2500,100.739,2256.364,0.932702,57.458
2600,101.540,2357.904,0.937560,61.281
2700,90.538,2448.442,0.941462,62.445
2800,87.023,2535.465,0.955267,65.517
2900,92.329,2627.793,0.922481,61.537
3000,79.437,2707.230,0.915707,64.410
3100,90.887,2798.117,0.945167,60.681
3200,84.488,2882.605,0.919420,59.325
3300,92.866,2975.471,0.928378,61.778
3400,94.019,3069.489,0.943429,61.902
3500,84.946,3154.435,0.913033,60.516
3600,95.597,3250.032,0.915323,61.505
3700,100.498,3350.530,0.921428,57.458
3800,103.787,3454.318,0.923902,61.281
3900,99.070,3553.387,0.928452,62.445
4000,97.544,3650.931,0.941986,65.517
4100,98.772,3749.703,0.909157,61.537
4200,82.234,3831.938,0.903467,64.410
4300,97.588,3929.525,0.937281,60.681
4400,87.690,4017.216,0.911450,59.325
4500,98.830,4116.045,0.920976,61.778
4600,95.097,4211.143,0.937721,61.902
4700,95.225,4306.368,0.905342,60.516
4800,96.775,4403.142,0.909851,61.505
4900,97.835,4500.977,0.916443,57.458
5000,94.005,4594.983,0.918825,61.281
5100,86.985,4681.968,0.922433,62.445
5200,85.838,4767.807,0.935678,65.517
5300,89.450,4857.256,0.902831,61.537
5400,77.958,4935.214,0.896634,64.410
5500,87.102,5022.317,0.931328,60.681
5600,78.721,5101.038,0.906483,59.325
5700,87.896,5188.934,0.916034,61.778
5800,89.547,5278.481,0.933836,61.902
5900,84.123,5362.605,0.900265,60.516
6000,84.456,5447.061,0.906582,61.505
6100,94.385,5541.446,0.913124,57.458
6200,92.219,5633.665,0.915520,61.281
6300,87.803,5721.468,0.918968,62.445
6400,87.121,5808.589,0.931965,65.517
6500,90.076,5898.665,0.899093,61.537
6600,78.166,5976.831,0.892708,64.410
6700,88.121,6064.952,0.927944,60.681
6800,80.674,6145.626,0.903519,59.325
6900,89.499,6235.125,0.912783,61.778
7000,91.167,6326.292,0.931300,61.902
7100,84.901,6411.194,0.896882,60.516
7200,88.155,6499.349,0.904318,61.505
7300,99.438,6598.787,0.910970,57.458
7400,97.838,6696.625,0.913218,61.281
7500,87.455,6784.080,0.916205,62.445
7600,92.636,6876.716,0.928988,65.517
7700,94.536,6971.252,0.895820,61.537
7800,78.874,7050.126,0.889101,64.410
7900,90.900,7141.026,0.925161,60.681
8000,85.410,7226.436,0.901073,59.325
8100,93.478,7319.913,0.909908,61.778
8200,96.352,7416.266,0.929044,61.902
8300,88.909,7505.175,0.893622,60.516
8400,92.612,7597.786,0.902261,61.505
8500,100.356,7698.142,0.908962,57.458
8600,103.573,7801.715,0.910993,61.281
8700,99.929,7901.644,0.913485,62.445
8800,94.998,7996.642,0.925938,65.517
8900,95.200,8091.843,0.892541,61.537
9000,82.186,8174.029,0.885530,64.410
9100,91.698,8265.727,0.922120,60.681
9200,84.224,8349.951,0.898409,59.325
9300,94.128,8444.079,0.906777,61.778
9400,94.187,8538.266,0.926625,61.902
9500,88.504,8626.770,0.890126,60.516
9600,92.198,8718.967,0.899955,61.505
9700,95.835,8814.802,0.906722,57.458
9800,93.850,8908.651,0.908349,61.281
9900,88.739,8997.390,0.910764,62.445
10000,88.381,9085.771,0.922690,65.517
