step,toy_roc_auc
100,0.4980
200,0.5893
300,0.6317
400,0.6423
500,0.5851
600,0.5631
700,0.7285
800,0.7458
900,0.7457
1000,0.7484
1100,0.7754
1200,0.7908
1300,0.8026
1400,0.8058
1500,0.8244
1600,0.8309
1700,0.8217
1800,0.7930
1900,0.7779
2000,0.7732
2100,0.7610
2200,0.7700
2300,0.7888
2400,0.8010
2500,0.7977
2600,0.7911
2700,0.7945
2800,0.8008
2900,0.8053
3000,0.8154
3100,0.8199
3200,0.8185
3300,0.8216
3400,0.8184
3500,0.8093
3600,0.8092
3700,0.8136
3800,0.8131
3900,0.8177
4000,0.8204
4100,0.8268
4200,0.8444
4300,0.8608
4400,0.8747
4500,0.8796
4600,0.8904
4700,0.9009
4800,0.9009
4900,0.9081
5000,0.9117
5100,0.9156
5200,0.9176
5300,0.9184
5400,0.9212
5500,0.9234
5600,0.9314
5700,0.9319
5800,0.9319
5900,0.9319
6000,0.9323
6100,0.9368
6200,0.9382
6300,0.9404
6400,0.9404
6500,0.9413
6600,0.9417
6700,0.9417
6800,0.9417
6900,0.9426
7000,0.9426
7100,0.9452
7200,0.9452
7300,0.9452
7400,0.9466
7500,0.9489
7600,0.9489
7700,0.9502
7800,0.9502
7900,0.9502
8000,0.9525
8100,0.9547
8200,0.9547
8300,0.9551
8400,0.9556
8500,0.9556
8600,0.9556
8700,0.9556
8800,0.9556
8900,0.9556
9000,0.9592
9100,0.9614
9200,0.9614
9300,0.9614
9400,0.9614
9500,0.9600
9600,0.9582
9700,0.9582
9800,0.9604
9900,0.9604
10000,0.9618
