epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.272,5.272,1.446565,1.890
2,4.858,10.130,1.212580,1.875
3,4.393,14.522,1.108488,1.853
4,4.969,19.491,1.202822,1.871
5,5.018,24.509,1.072281,1.869
6,4.905,29.415,1.161391,1.925
7,5.168,34.583,1.007603,1.826
8,4.773,39.355,0.971428,1.749
9,4.913,44.268,1.037984,1.766
10,4.869,49.137,1.042598,1.959
11,4.712,53.849,1.082750,1.858
12,4.783,58.633,0.983611,1.761
13,4.559,63.192,0.976152,1.894
14,4.368,67.560,1.018133,1.840
15,4.903,72.463,1.030640,1.903
16,4.657,77.120,1.094776,1.904
17,4.578,81.698,0.995380,1.959
18,4.546,86.244,1.087856,1.894
19,4.542,90.786,1.024510,1.971
20,4.797,95.583,1.081530,1.892
21,4.169,99.752,1.045004,1.746
22,4.837,104.589,1.032612,1.873
23,4.491,109.079,0.993251,1.900
24,4.868,113.947,1.007032,1.869
25,4.903,118.850,1.165287,1.959
26,5.271,124.121,1.018510,1.842
27,4.665,128.786,1.110333,1.882
28,4.446,133.233,0.999027,1.892
29,5.344,138.577,1.044598,1.830
30,4.591,143.168,0.959578,1.882
31,4.756,147.923,0.993978,1.838
32,5.189,153.112,1.020414,1.900
33,5.576,158.688,0.897864,1.886
34,4.602,163.290,0.940102,1.978
35,4.883,168.172,0.960604,1.746
36,4.795,172.967,0.917244,1.973
37,4.843,177.810,1.082890,1.892
38,4.520,182.330,0.905473,1.947
39,4.564,186.893,0.956013,1.842
40,5.065,191.958,0.985013,1.864
41,4.929,196.887,1.101440,1.756
42,4.929,201.816,1.017065,1.859
43,4.936,206.752,0.954915,1.910
44,4.788,211.540,0.848605,1.913
45,5.019,216.559,1.138589,1.894
46,4.977,221.535,0.875867,1.803
47,4.600,226.135,1.068747,1.782
48,4.790,230.925,1.081223,1.849
49,4.787,235.711,1.021804,1.827
50,4.966,240.677,1.015672,1.951
