epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.576,5.576,1.980589,1.927
2,4.942,10.517,1.494878,1.730
3,4.665,15.182,1.674121,1.798
4,4.532,19.714,1.617203,1.950
5,4.814,24.528,1.643322,1.884
6,4.938,29.465,1.605479,1.911
7,4.674,34.139,1.626407,1.948
8,4.646,38.786,1.702527,1.867
9,4.628,43.413,1.585793,1.825
10,4.844,48.257,1.637615,1.851
11,4.659,52.916,1.540616,1.729
12,5.148,58.064,1.712569,1.923
13,4.920,62.984,1.643477,1.759
14,4.673,67.657,1.596954,1.798
15,4.791,72.448,1.640387,1.913
16,4.901,77.350,1.665741,1.821
17,4.736,82.086,1.628800,1.951
18,4.807,86.893,1.767038,1.703
19,4.868,91.761,1.535386,1.786
20,4.582,96.344,1.595331,1.839
21,4.918,101.262,1.708170,1.845
22,5.285,106.546,1.633948,1.909
23,4.578,111.124,1.796826,1.823
24,4.355,115.479,1.553726,1.880
25,4.757,120.236,1.638445,1.930
26,5.285,125.521,1.567037,1.857
27,4.771,130.293,1.610514,1.943
28,4.591,134.884,1.657961,1.933
29,5.123,140.006,1.643820,1.809
30,5.134,145.140,1.491430,1.849
31,4.968,150.108,1.532546,1.977
32,4.725,154.834,1.615437,1.913
33,5.562,160.395,1.578333,1.854
34,5.222,165.618,1.599896,1.901
35,5.061,170.678,1.671826,1.845
36,5.169,175.847,1.648499,1.860
37,5.599,181.446,1.572060,1.887
38,4.859,186.305,1.640132,1.874
39,5.795,192.100,1.676895,1.927
40,4.853,196.954,1.525158,1.863
41,5.485,202.439,1.702404,1.897
42,4.945,207.384,1.641687,1.881
43,5.422,212.806,1.599421,1.947
44,5.234,218.040,1.720322,1.740
45,4.719,222.760,1.649403,1.746
46,5.311,228.070,1.604827,1.929
47,4.907,232.977,1.575527,1.927
48,5.216,238.193,1.619431,1.961
49,5.335,243.528,1.681214,1.977
50,5.256,248.784,1.527327,1.810
