epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.483,4.483,1.395046,1.978
2,4.465,8.948,1.060267,1.800
3,4.467,13.415,1.231953,1.870
4,4.334,17.748,1.031858,1.904
5,4.212,21.960,1.135632,1.873
6,4.483,26.444,1.017108,1.840
7,4.523,30.967,0.987984,1.971
8,4.313,35.280,1.008271,1.918
9,4.249,39.529,1.103632,1.835
10,4.493,44.022,1.011834,1.930
11,4.438,48.460,0.981631,1.836
12,4.754,53.214,1.096183,1.901
13,5.274,58.488,0.984310,1.891
14,4.186,62.674,1.048512,1.740
15,4.190,66.863,0.967319,1.901
16,4.588,71.451,1.058820,1.971
17,4.532,75.983,1.068997,1.838
18,4.303,80.286,0.959465,1.882
19,4.760,85.046,0.908173,1.918
20,4.095,89.141,1.016478,1.842
