epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,76.307,76.307,1.136762,15.450
2,74.410,150.716,1.001672,13.788
3,70.997,221.713,0.977948,15.661
4,72.992,294.705,0.973242,14.380
5,77.699,372.404,0.990350,15.083
6,78.641,451.045,0.933380,13.882
7,71.050,522.095,0.961127,15.518
8,93.653,615.747,0.955284,15.731
9,72.829,688.577,0.939534,14.698
10,76.181,764.758,0.920212,13.422
11,73.205,837.963,0.934682,15.379
12,73.621,911.584,0.915495,15.379
13,77.462,989.046,0.933471,15.451
14,73.171,1062.217,0.904811,13.789
15,66.237,1128.454,0.913266,15.662
16,59.781,1188.235,0.922624,14.382
17,63.025,1251.261,0.946302,15.084
18,64.343,1315.604,0.896909,13.883
19,59.261,1374.864,0.928153,15.519
20,72.660,1447.524,0.929105,15.732
21,61.055,1508.579,0.923343,14.700
22,58.772,1567.351,0.895789,13.424
23,59.787,1627.138,0.918163,15.380
24,63.163,1690.301,0.898541,15.381
25,76.369,1766.670,0.917410,15.451
26,71.777,1838.447,0.889047,13.789
27,69.404,1907.851,0.898581,15.662
28,72.500,1980.351,0.911032,14.382
29,75.932,2056.283,0.933114,15.084
30,78.331,2134.615,0.883962,13.883
31,62.763,2197.378,0.917374,15.519
32,74.769,2272.147,0.920580,15.732
33,63.478,2335.626,0.916183,14.700
34,60.637,2396.262,0.888452,13.424
35,61.532,2457.794,0.909972,15.380
36,63.298,2521.092,0.890406,15.381
37,72.415,2593.507,0.910956,15.451
38,74.349,2667.856,0.878338,13.789
39,70.183,2738.039,0.890377,15.662
40,72.378,2810.417,0.904396,14.382
41,77.433,2887.850,0.927846,15.084
42,79.671,2967.521,0.877707,13.883
43,70.709,3038.230,0.914685,15.519
44,90.668,3128.898,0.913667,15.732
45,73.224,3202.122,0.909541,14.700
46,75.401,3277.523,0.882694,13.424
47,72.404,3349.927,0.904796,15.380
48,77.142,3427.069,0.885585,15.381
49,79.111,3506.180,0.906234,15.451
50,66.482,3572.662,0.871777,13.789
