epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.557,4.557,0.718246,1.825
2,4.963,9.520,0.503616,1.860
3,4.722,14.242,0.507453,1.895
4,4.258,18.499,0.545570,1.916
5,4.598,23.097,0.500596,1.971
6,4.761,27.858,0.499278,1.942
7,4.506,32.364,0.489150,1.963
8,4.689,37.053,0.539492,1.896
9,4.726,41.779,0.477669,1.921
10,4.381,46.160,0.517125,1.919
11,4.600,50.760,0.506579,1.879
12,4.822,55.581,0.505144,1.806
13,4.693,60.274,0.481356,1.870
14,4.337,64.612,0.522106,1.922
15,4.173,68.785,0.498208,1.815
16,4.694,73.480,0.501466,1.919
17,4.512,77.992,0.504665,1.946
18,4.193,82.185,0.994877,1.926
19,4.139,86.325,1.069606,1.918
20,4.492,90.816,0.832361,1.870
21,4.585,95.401,0.902138,1.838
22,4.463,99.864,0.762154,1.730
23,4.715,104.580,0.794205,1.919
24,4.078,108.657,0.778800,1.911
25,4.317,112.974,0.848830,1.733
26,4.540,117.514,0.791113,1.942
27,4.157,121.671,0.790496,1.811
28,4.315,125.987,0.761439,1.955
29,4.126,130.113,0.776434,1.904
30,4.543,134.655,0.744363,1.963
31,4.370,139.026,0.747681,1.842
32,4.306,143.332,0.670116,1.788
33,4.401,147.733,0.799311,1.922
34,4.978,152.711,0.775959,1.963
35,4.214,156.925,0.758413,1.850
36,4.885,161.810,1.223836,1.843
37,4.552,166.362,1.026724,1.918
38,5.003,171.365,1.169055,1.877
39,4.818,176.183,0.931979,1.896
40,6.780,182.962,1.059947,1.868
41,4.834,187.796,1.067580,1.969
42,5.143,192.940,0.879711,1.906
43,4.970,197.909,1.046162,1.949
44,5.148,203.057,0.977961,1.860
45,4.897,207.954,0.948082,1.949
46,4.984,212.938,0.907424,1.917
47,4.996,217.934,1.032393,1.917
48,4.481,222.415,1.001531,1.824
49,4.846,227.261,1.024811,1.961
50,4.527,231.788,1.042842,1.910
