epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.855,4.855,0.728192,1.840
2,4.677,9.533,0.535888,1.902
3,4.156,13.689,0.526494,1.855
4,4.153,17.842,0.464875,1.826
5,4.285,22.128,0.499856,1.847
6,4.127,26.255,0.505046,1.844
7,4.361,30.617,0.506172,1.928
8,4.353,34.969,1.412054,1.856
9,4.804,39.773,0.977128,1.942
10,4.335,44.108,0.850730,1.928
11,4.318,48.426,0.869615,1.881
12,4.905,53.331,0.840214,1.894
13,4.550,57.881,0.779230,1.923
14,4.298,62.179,0.766445,1.823
15,4.533,66.712,1.187849,1.960
16,4.662,71.374,1.032596,1.860
17,4.577,75.951,1.009340,1.807
18,4.512,80.463,1.239080,1.866
19,5.138,85.600,1.025658,1.985
20,4.399,89.999,1.145500,1.868
