step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,22.305,22.305,0.576223,0.920
200,22.917,45.222,0.507798,0.920
300,21.935,67.157,0.496508,0.924
400,22.758,89.915,0.496652,0.924
500,22.275,112.190,0.489371,0.920
600,22.776,134.966,0.492857,0.924
700,24.078,159.044,0.490255,0.920
800,22.999,182.043,0.483543,0.920
900,24.064,206.107,0.490407,0.924
1000,23.719,229.826,0.482168,0.920
1100,22.780,252.606,0.473713,0.920
1200,23.623,276.228,0.461454,0.920
1300,23.853,300.081,0.454672,0.924
1400,22.961,323.042,0.449975,0.920
1500,22.759,345.802,0.467665,0.924
1600,22.615,368.417,0.453938,0.924
1700,21.568,389.985,0.447951,0.924
1800,23.820,413.805,0.461342,0.920
1900,22.118,435.923,0.464512,0.924
2000,21.850,457.772,0.451106,0.924
2100,21.325,479.097,0.450140,0.920
2200,21.229,500.326,0.460520,0.920
2300,21.196,521.522,0.458120,0.920
2400,20.677,542.199,0.454795,0.912
2500,23.203,565.402,0.440972,0.920
2600,25.097,590.498,0.457116,0.907
2700,21.746,612.244,0.446869,0.907
2800,22.007,634.252,0.451144,0.920
2900,23.235,657.487,0.448962,0.920
3000,22.619,680.106,0.459256,0.920
3100,23.336,703.442,0.449569,0.920
3200,24.531,727.973,0.448528,0.924
3300,24.082,752.055,0.441475,0.920
3400,23.152,775.207,0.449396,0.920
3500,21.106,796.313,0.437698,0.920
3600,28.837,825.150,0.460716,0.920
3700,28.361,853.511,0.463741,0.920
3800,28.887,882.397,0.468215,0.924
3900,31.616,914.013,0.468217,0.924
4000,30.520,944.533,0.478009,0.920
4100,27.471,972.004,0.470249,0.924
4200,28.254,1000.258,0.469995,0.924
4300,28.982,1029.240,0.470278,0.924
4400,30.478,1059.718,0.479969,0.924
4500,31.210,1090.928,0.458753,0.920
4600,29.237,1120.165,0.467887,0.920
4700,28.132,1148.297,0.473258,0.912
4800,28.210,1176.507,0.457136,0.920
4900,27.615,1204.122,0.469091,0.901
5000,32.175,1236.297,0.466981,0.924
5100,30.451,1266.748,0.472587,0.912
5200,27.864,1294.612,0.465208,0.920
5300,32.607,1327.219,0.450253,0.912
5400,28.152,1355.371,0.464813,0.924
5500,27.330,1382.701,0.468552,0.920
5600,27.776,1410.477,0.469659,0.924
5700,25.405,1435.882,0.470838,0.924
5800,27.294,1463.176,0.459983,0.920
5900,29.771,1492.947,0.458231,0.920
6000,27.463,1520.410,0.457928,0.920
6100,29.506,1549.916,0.458526,0.920
6200,30.895,1580.810,0.464388,0.920
6300,27.309,1608.120,0.459998,0.924
6400,28.079,1636.198,0.453499,0.924
6500,27.791,1663.989,0.468297,0.920
6600,28.802,1692.791,0.465226,0.920
6700,30.401,1723.193,0.468843,0.920
6800,27.700,1750.892,0.475058,0.920
6900,29.699,1780.591,0.464220,0.924
7000,31.715,1812.306,0.457001,0.920
7100,38.176,1850.482,0.469413,0.924
7200,38.021,1888.503,0.473814,0.924
7300,41.829,1930.332,0.472521,0.924
7400,44.820,1975.152,0.476974,0.924
7500,39.019,2014.170,0.467289,0.924
7600,40.496,2054.667,0.472936,0.920
7700,41.264,2095.930,0.488723,0.907
7800,43.044,2138.974,0.473432,0.924
7900,38.975,2177.949,0.467893,0.920
8000,43.703,2221.652,0.473555,0.920
8100,38.326,2259.978,0.469908,0.920
8200,48.951,2308.928,0.471217,0.908
8300,42.694,2351.622,0.479738,0.920
8400,44.799,2396.421,0.481755,0.924
8500,40.754,2437.175,0.477742,0.924
8600,38.731,2475.906,0.477670,0.912
8700,42.338,2518.244,0.475720,0.920
8800,42.220,2560.464,0.478508,0.920
8900,45.920,2606.384,0.478399,0.920
9000,36.710,2643.094,0.473604,0.920
9100,38.308,2681.402,0.473864,0.920
9200,41.917,2723.318,0.468332,0.920
9300,40.852,2764.170,0.485198,0.907
9400,44.986,2809.156,0.472107,0.920
9500,36.130,2845.286,0.483897,0.924
9600,42.592,2887.878,0.477414,0.924
9700,41.803,2929.681,0.463963,0.920
9800,39.307,2968.988,0.472258,0.920
9900,39.088,3008.076,0.471510,0.920
10000,38.241,3046.317,0.459264,0.920
