step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,30.053,30.053,0.576223,0.920
200,28.851,58.903,0.507798,0.920
300,27.859,86.762,0.496508,0.924
400,28.809,115.571,0.496652,0.924
500,28.002,143.573,0.489371,0.920
600,28.713,172.286,0.492857,0.924
700,30.226,202.512,0.490255,0.920
800,29.014,231.526,0.483543,0.920
900,32.860,264.386,0.489842,0.924
1000,35.339,299.725,0.489698,0.920
1100,35.470,335.194,0.494746,0.924
1200,33.696,368.890,0.476576,0.908
1300,35.983,404.873,0.474703,0.924
1400,34.790,439.663,0.479960,0.907
1500,35.761,475.424,0.474095,0.920
1600,33.230,508.654,0.482176,0.920
1700,32.322,540.976,0.485633,0.924
1800,38.403,579.379,0.485021,0.924
1900,46.832,626.210,0.490897,0.924
2000,55.564,681.775,0.486449,0.924
2100,52.675,734.450,0.492069,0.920
2200,50.354,784.804,0.492060,0.920
2300,55.590,840.394,0.470605,0.920
2400,48.409,888.803,0.472847,0.920
2500,56.015,944.819,0.477185,0.924
