step,toy_roc_auc
100,0.6532
200,0.8019
300,0.7895
400,0.7680
500,0.7668
600,0.8216
700,0.8377
800,0.8607
900,0.8863
1000,0.9104
1100,0.9069
1200,0.9081
1300,0.9216
1400,0.9173
1500,0.9178
1600,0.9181
1700,0.9126
1800,0.9021
1900,0.8983
2000,0.8974
2100,0.8949
2200,0.8929
2300,0.8825
2400,0.8779
2500,0.8776
2600,0.8776
2700,0.8764
2800,0.8742
2900,0.8734
3000,0.8706
3100,0.8685
3200,0.8725
3300,0.8725
3400,0.8714
3500,0.8731
3600,0.8744
3700,0.8826
3800,0.9186
3900,0.9216
4000,0.9323
4100,0.9489
4200,0.9640
4300,0.9816
4400,0.9900
4500,0.9914
4600,0.9969
4700,0.9969
4800,0.9969
4900,0.9974
5000,0.9974
5100,0.9974
5200,0.9969
5300,0.9974
5400,0.9974
5500,0.9974
5600,0.9974
5700,0.9974
5800,0.9974
5900,0.9974
6000,0.9974
6100,0.9974
6200,0.9974
6300,0.9974
6400,0.9974
6500,0.9974
6600,0.9974
6700,0.9974
6800,0.9974
6900,0.9974
7000,0.9974
7100,0.9974
7200,0.9974
7300,0.9974
7400,0.9974
7500,0.9974
7600,0.9974
7700,0.9974
7800,0.9974
7900,0.9974
8000,0.9974
8100,0.9974
8200,0.9974
8300,0.9974
8400,0.9974
8500,0.9974
8600,0.9974
8700,0.9974
8800,0.9974
8900,0.9974
9000,0.9974
9100,0.9974
9200,0.9974
9300,0.9974
9400,0.9974
9500,0.9978
9600,0.9978
9700,0.9978
9800,0.9978
9900,0.9978
10000,0.9978
