step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,23.681,23.681,0.609864,5.237
200,21.004,44.685,0.507265,5.278
300,23.562,68.247,0.493046,5.237
400,23.510,91.757,0.494919,5.087
500,23.579,115.336,0.470600,5.256
600,24.023,139.359,0.462247,5.226
700,23.472,162.831,0.456564,5.095
800,21.478,184.310,0.440617,5.216
900,22.164,206.474,0.455713,4.911
1000,25.366,231.840,0.433770,5.129
1100,22.911,254.751,0.440819,5.263
1200,22.686,277.437,0.437587,5.180
1300,23.398,300.835,0.442255,5.252
1400,21.106,321.941,0.433575,5.293
1500,23.726,345.667,0.439154,5.252
1600,23.641,369.308,0.444032,5.102
1700,23.784,393.093,0.436685,5.271
1800,24.248,417.340,0.439846,5.241
1900,23.700,441.040,0.436457,5.110
2000,21.478,462.519,0.427236,5.231
2100,22.529,485.048,0.444308,4.925
2200,25.577,510.625,0.422563,5.144
2300,22.963,533.588,0.433059,5.277
2400,22.904,556.491,0.429219,5.194
2500,23.538,580.029,0.435906,5.252
2600,21.063,601.092,0.426182,5.293
2700,23.722,624.814,0.432758,5.252
2800,23.599,648.413,0.438412,5.102
2900,23.657,672.070,0.432031,5.271
3000,24.102,696.172,0.435250,5.241
3100,23.465,719.637,0.431830,5.110
3200,21.372,741.009,0.422973,5.231
3300,22.491,763.500,0.440735,4.925
3400,25.499,788.999,0.418686,5.144
3500,22.938,811.937,0.429251,5.277
3600,44.401,856.338,0.974013,21.320
3700,47.086,903.424,0.758484,20.777
3800,42.642,946.066,0.739567,20.481
3900,43.600,989.666,0.713239,20.022
4000,42.494,1032.159,0.695728,20.214
4100,48.342,1080.501,0.695483,20.502
4200,40.721,1121.222,0.695970,20.832
4300,45.218,1166.440,0.681249,20.949
4400,38.967,1205.407,0.684336,21.317
4500,37.565,1242.973,0.697054,20.566
4600,38.462,1281.435,0.692508,21.450
4700,41.777,1323.212,0.659725,20.566
4800,42.800,1366.012,0.705509,21.494
4900,45.402,1411.414,0.674767,20.777
5000,42.490,1453.904,0.682392,20.481
5100,43.377,1497.281,0.664491,20.022
5200,42.367,1539.648,0.659191,20.214
5300,49.515,1589.164,0.667025,20.502
5400,40.739,1629.903,0.670193,20.832
5500,43.609,1673.512,0.657988,20.949
5600,40.809,1714.321,0.664667,21.317
5700,41.378,1755.699,0.678549,20.566
5800,42.231,1797.931,0.677137,21.450
5900,41.606,1839.537,0.643559,20.566
6000,41.893,1881.429,0.694289,21.494
6100,44.682,1926.111,0.664111,20.777
6200,42.633,1968.743,0.673192,20.481
6300,43.493,2012.236,0.656331,20.022
6400,43.003,2055.239,0.651815,20.214
6500,49.582,2104.821,0.660138,20.502
6600,42.174,2146.996,0.663384,20.832
6700,44.508,2191.504,0.651357,20.949
6800,40.035,2231.539,0.658946,21.317
6900,39.672,2271.211,0.673346,20.566
7000,41.638,2312.849,0.672845,21.450
7100,111.674,2424.522,1.011473,58.489
7200,95.444,2519.967,0.961241,62.024
7300,94.880,2614.847,0.959196,57.458
7400,93.374,2708.220,0.948875,61.281
7500,86.873,2795.094,0.953135,62.445
7600,87.010,2882.104,0.960241,65.517
7700,91.636,2973.739,0.922398,61.537
7800,76.261,3050.000,0.914820,64.410
7900,87.915,3137.915,0.953215,60.681
8000,79.113,3217.028,0.923810,59.325
8100,90.537,3307.565,0.930179,61.778
8200,92.099,3399.664,0.948764,61.902
8300,87.589,3487.253,0.912638,60.516
8400,92.725,3579.978,0.920425,61.505
8500,95.082,3675.060,0.928448,57.458
8600,100.831,3775.892,0.926854,61.281
8700,88.021,3863.913,0.931824,62.445
8800,94.050,3957.963,0.941104,65.517
8900,99.071,4057.034,0.907202,61.537
9000,83.831,4140.865,0.899807,64.410
9100,96.647,4237.512,0.938193,60.681
9200,87.123,4324.635,0.911396,59.325
9300,96.593,4421.228,0.917573,61.778
9400,93.178,4514.406,0.937244,61.902
9500,93.029,4607.436,0.899171,60.516
9600,94.949,4702.384,0.909585,61.505
9700,92.976,4795.360,0.917928,57.458
9800,92.634,4887.994,0.917139,61.281
9900,88.692,4976.686,0.921087,62.445
10000,87.451,5064.136,0.931085,65.517
