epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.190,3.190,0.676301,0.262
2,3.104,6.293,0.542109,0.262
3,2.980,9.274,0.501531,0.262
4,2.963,12.237,0.502807,0.258
5,2.931,15.168,0.518679,0.262
6,3.205,18.373,0.481326,0.256
7,2.908,21.281,0.520097,0.261
8,2.977,24.258,0.499371,0.256
9,2.942,27.199,0.511815,0.262
10,3.224,30.423,0.522171,0.253
11,2.990,33.413,0.487843,0.262
12,2.938,36.351,0.497122,0.262
13,3.031,39.382,0.473849,0.262
14,3.179,42.561,0.431615,0.262
15,3.007,45.568,0.465339,0.262
16,2.944,48.511,0.469744,0.261
17,2.983,51.494,0.450249,0.262
18,3.170,54.664,0.465742,0.262
19,2.876,57.541,0.459362,0.262
20,2.952,60.493,0.471386,0.262
21,2.959,63.452,0.441972,0.256
22,3.263,66.715,0.453142,0.262
23,2.985,69.699,0.433409,0.256
24,2.892,72.592,0.435678,0.258
25,2.970,75.561,0.420857,0.261
26,3.137,78.698,0.437030,0.262
27,2.939,81.637,0.447298,0.262
28,2.906,84.543,0.458392,0.261
29,3.003,87.546,0.397933,0.262
30,3.126,90.671,0.408392,0.262
31,2.945,93.616,0.430335,0.262
32,2.952,96.568,0.399068,0.262
33,2.961,99.529,0.451777,0.256
34,3.159,102.688,0.405177,0.262
35,3.065,105.753,0.412778,0.262
36,3.407,109.160,1.675534,0.736
37,3.400,112.560,0.883018,0.698
38,3.832,116.393,0.888640,0.666
39,3.472,119.865,0.834651,0.740
40,3.434,123.299,0.794643,0.737
41,3.433,126.732,0.740061,0.662
42,3.764,130.496,0.798703,0.687
43,3.597,134.092,0.768362,0.722
44,3.411,137.504,0.763224,0.716
45,3.604,141.108,0.686073,0.703
46,3.564,144.672,0.757642,0.740
47,3.404,148.075,0.865580,0.721
48,3.561,151.636,0.759563,0.673
49,3.633,155.270,0.756952,0.702
50,3.590,158.859,0.760691,0.687
51,3.476,162.335,0.699827,0.737
52,3.422,165.757,0.641488,0.737
53,3.761,169.518,0.803319,0.730
54,3.498,173.016,0.729269,0.740
55,3.461,176.477,0.790543,0.710
56,3.780,180.256,0.644387,0.730
57,3.411,183.668,0.726368,0.736
58,3.431,187.099,0.724514,0.722
59,3.476,190.575,0.678719,0.698
60,3.771,194.346,0.684265,0.737
61,3.510,197.857,0.664265,0.724
62,3.418,201.275,0.802370,0.698
63,3.410,204.685,0.756340,0.703
64,3.848,208.533,0.743112,0.725
65,3.494,212.027,0.657948,0.700
66,3.342,215.369,0.811774,0.670
67,3.787,219.156,0.620059,0.729
68,3.473,222.629,0.721114,0.712
69,3.576,226.205,0.701105,0.722
70,3.588,229.793,0.737182,0.700
71,4.890,234.683,1.248813,1.811
72,4.857,239.540,1.066284,1.846
73,4.896,244.436,0.959684,1.955
74,5.903,250.339,1.056230,1.915
75,4.821,255.160,1.005142,1.915
76,5.186,260.346,1.051819,1.907
77,4.366,264.712,0.931356,1.926
78,4.699,269.411,1.010243,1.829
79,4.474,273.886,0.979225,1.953
80,4.465,278.351,1.015858,1.863
81,5.112,283.463,1.042520,1.983
82,4.279,287.742,1.036155,1.884
83,4.252,291.994,0.903476,1.841
84,4.235,296.230,1.046667,1.955
85,4.757,300.987,1.020193,1.747
86,4.198,305.185,0.983333,1.841
87,4.567,309.752,0.956958,1.985
88,4.748,314.500,1.006402,1.914
89,4.281,318.781,1.100743,1.952
90,4.076,322.857,0.950518,1.714
91,4.142,326.999,1.026982,1.818
92,4.540,331.539,0.911498,1.785
93,4.621,336.160,1.034243,1.918
94,4.186,340.346,0.895745,1.960
95,4.336,344.682,0.994008,1.818
96,4.585,349.267,1.110137,1.950
97,4.474,353.741,1.072477,1.752
98,4.423,358.163,1.008229,1.871
99,4.377,362.540,0.982006,1.906
100,4.772,367.312,0.986065,1.841
