epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.071,4.071,0.698481,0.257
2,3.730,7.801,0.499055,0.261
3,3.277,11.078,0.506632,0.261
4,3.373,14.451,0.513392,0.261
5,3.390,17.841,0.517743,0.262
6,3.545,21.386,0.506024,0.262
7,3.300,24.687,0.503190,0.262
8,3.371,28.057,0.519147,0.261
9,3.357,31.415,0.509651,0.262
10,3.620,35.034,0.512917,0.262
11,3.398,38.432,0.459610,0.261
12,3.281,41.713,0.467450,0.261
13,3.290,45.003,0.498517,0.262
14,3.484,48.487,0.518011,0.262
15,3.436,51.923,0.488952,0.261
16,3.340,55.263,0.515699,0.262
17,3.384,58.648,0.478605,0.262
18,3.971,62.618,0.964998,0.732
19,3.772,66.390,0.986252,0.723
20,3.838,70.228,0.980545,0.735
21,4.107,74.336,0.885978,0.699
22,3.784,78.120,0.876123,0.741
23,3.737,81.857,0.813979,0.696
24,3.885,85.742,0.855362,0.707
25,4.052,89.793,0.837980,0.719
26,3.824,93.617,0.769874,0.683
27,3.789,97.406,0.806109,0.721
28,3.820,101.226,0.719082,0.702
29,4.019,105.246,0.832933,0.689
30,3.865,109.111,0.793869,0.734
31,3.835,112.946,0.767126,0.722
32,4.063,117.009,0.687256,0.698
33,3.800,120.809,0.753980,0.692
34,3.790,124.599,0.717476,0.739
35,3.799,128.398,0.771456,0.733
36,5.225,133.624,1.151564,1.830
37,5.205,138.829,1.119700,1.706
38,5.907,144.736,1.040679,1.854
39,4.983,149.719,1.035884,1.941
40,5.417,155.135,1.130936,1.830
41,5.110,160.246,1.207824,1.762
42,4.742,164.987,0.957775,1.848
43,5.353,170.341,1.153781,1.873
44,5.120,175.461,0.964949,1.905
45,4.852,180.312,1.006637,1.915
46,4.941,185.253,1.054375,1.868
47,4.981,190.234,1.027232,1.833
48,5.042,195.276,1.111026,1.906
49,4.834,200.109,1.015117,1.815
50,5.141,205.250,1.035974,1.843
