epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.145,3.145,0.676301,0.262
2,3.045,6.190,0.542109,0.262
3,2.944,9.134,0.501531,0.262
4,2.939,12.073,0.502807,0.258
5,2.858,14.931,0.518679,0.262
6,3.147,18.078,0.481326,0.256
7,2.843,20.921,0.520097,0.261
8,3.283,24.204,1.228710,0.712
9,3.465,27.669,0.992514,0.724
10,3.557,31.226,0.797349,0.727
11,3.293,34.518,0.809102,0.737
12,3.368,37.886,0.812758,0.704
13,3.341,41.227,0.772890,0.736
14,3.740,44.967,0.768447,0.719
15,4.719,49.686,1.128443,1.840
16,4.764,54.451,0.956358,1.918
17,4.662,59.113,1.030242,1.717
18,4.410,63.523,1.215279,1.902
19,4.461,67.984,1.118559,1.870
20,4.463,72.447,1.071778,1.943
