epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.263,3.263,0.676301,0.262
2,3.176,6.438,0.542109,0.262
3,3.034,9.472,0.501531,0.262
4,3.051,12.524,0.502807,0.258
5,2.974,15.498,0.518679,0.262
6,3.325,18.823,0.481326,0.256
7,2.983,21.806,0.520097,0.261
8,3.050,24.856,0.499371,0.256
9,3.000,27.856,0.511815,0.262
10,3.308,31.164,0.522171,0.253
11,3.295,34.459,1.166099,0.423
12,3.147,37.607,0.814951,0.445
13,3.109,40.716,0.750088,0.440
14,3.463,44.179,0.738963,0.436
15,3.275,47.454,0.771216,0.436
16,3.165,50.619,0.655339,0.435
17,3.167,53.786,0.689883,0.433
18,3.399,57.185,0.662633,0.423
19,3.191,60.375,0.685504,0.436
20,3.243,63.618,0.696534,0.440
21,3.548,67.166,1.003252,0.712
22,3.665,70.832,0.985047,0.739
23,3.421,74.252,0.816788,0.735
24,3.598,77.850,0.786980,0.705
25,3.704,81.554,0.783823,0.719
26,3.506,85.060,0.790403,0.680
27,3.510,88.570,0.796702,0.698
28,3.421,91.991,0.698962,0.698
29,3.754,95.745,0.764975,0.711
30,3.508,99.252,0.800268,0.690
31,4.077,103.330,0.837711,1.298
32,4.100,107.429,0.993325,1.282
33,4.221,111.651,0.935757,1.181
34,4.099,115.749,0.968839,1.235
35,4.036,119.785,0.905637,1.281
36,3.896,123.681,0.829135,1.285
37,4.110,127.791,1.082391,1.271
38,3.843,131.634,0.931763,1.287
39,4.038,135.672,0.813654,1.324
40,4.048,139.720,0.880571,1.259
41,4.678,144.398,1.090911,1.806
42,5.035,149.433,1.059533,1.941
43,4.837,154.270,1.023208,1.884
44,4.516,158.786,0.998480,1.876
45,4.556,163.342,0.998677,1.840
46,5.119,168.461,0.995643,1.839
47,4.502,172.963,0.904675,1.769
48,5.029,177.992,0.979436,1.737
49,4.889,182.881,0.988587,1.865
50,4.978,187.858,0.902360,1.879
