epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,21.398,21.398,0.556669,1.289
2,20.077,41.475,0.464234,1.289
3,20.258,61.733,0.466138,1.331
4,19.553,81.286,0.451410,1.205
5,18.801,100.087,0.430600,1.359
6,19.705,119.792,0.428599,1.299
7,19.826,139.618,0.448777,1.339
8,18.385,158.003,0.432279,1.289
9,20.413,178.416,0.424663,1.344
10,20.049,198.465,0.438389,1.344
11,18.174,216.639,0.430183,1.331
12,17.906,234.546,0.432243,1.351
13,20.230,254.776,0.420105,1.290
14,19.535,274.310,0.400332,1.290
15,19.718,294.029,0.424265,1.333
16,19.495,313.524,0.432081,1.206
17,19.280,332.804,0.415845,1.360
18,26.260,359.064,0.705227,4.926
19,34.228,393.292,0.757740,4.454
20,36.036,429.328,0.704279,5.066
21,33.420,462.748,0.705656,5.194
22,31.883,494.631,0.682419,4.512
23,32.263,526.894,0.686337,4.904
24,34.681,561.575,0.671355,4.860
25,32.600,594.175,0.685529,4.891
26,33.443,627.618,0.689600,5.237
27,29.739,657.357,0.674058,5.506
28,31.202,688.559,0.677335,4.999
29,32.410,720.968,0.663253,5.450
30,36.786,757.754,0.670898,5.047
31,35.783,793.538,0.668916,4.667
32,35.848,829.385,0.674016,4.676
33,30.919,860.304,0.658476,4.750
34,33.166,893.470,0.663049,4.932
35,33.551,927.021,0.669451,4.891
36,76.206,1003.227,1.029854,16.299
37,74.861,1078.088,0.973096,15.585
38,72.968,1151.056,0.951240,15.863
39,71.489,1222.545,0.928057,14.504
40,68.707,1291.252,0.914820,15.943
41,77.953,1369.205,0.954794,15.799
42,68.886,1438.092,0.929851,14.640
43,72.281,1510.373,0.918413,15.585
44,65.111,1575.484,0.933545,14.948
45,66.759,1642.243,0.921846,13.475
46,66.096,1708.340,0.918931,16.011
47,82.135,1790.475,0.932053,15.863
48,72.594,1863.069,0.894982,13.814
49,73.314,1936.383,0.932342,15.585
50,73.251,2009.634,0.921901,15.863
