step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,74.767,74.767,0.555069,0.000
200,74.314,149.081,0.490468,0.000
300,79.488,228.569,0.477243,0.000
400,79.248,307.817,0.462887,0.000
500,80.499,388.316,0.464111,0.000
600,77.789,466.105,0.458246,0.000
700,79.992,546.097,0.452360,0.000
800,78.964,625.061,0.456051,0.000
900,107.397,732.459,0.636197,0.000
1000,184.564,917.023,0.787918,0.000
1100,181.938,1098.960,0.732287,0.000
1200,176.944,1275.904,0.736349,0.000
1300,190.263,1466.167,0.717302,0.000
1400,175.567,1641.734,0.714905,0.000
1500,174.846,1816.580,0.708707,0.000
1600,158.989,1975.569,0.706021,0.000
1700,169.896,2145.466,0.725688,0.000
1800,314.716,2460.182,0.916343,0.000
1900,445.014,2905.196,0.986248,0.000
2000,563.909,3469.106,0.995334,0.000
2100,487.997,3957.102,0.963063,0.000
2200,524.811,4481.914,0.946805,0.000
2300,543.723,5025.636,0.976158,0.000
2400,579.920,5605.556,0.962056,0.000
2500,557.624,6163.180,0.955186,0.000
