epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.260,4.260,1.438072,0.256
2,4.004,8.264,1.286043,0.262
3,4.121,12.385,1.194553,0.262
4,3.835,16.220,1.123172,0.256
5,3.856,20.077,1.008174,0.261
6,4.146,24.223,1.076573,0.258
7,3.968,28.191,1.158138,0.262
8,3.951,32.142,1.018807,0.262
9,4.039,36.181,1.123970,0.262
10,3.872,40.052,1.033013,0.257
11,4.016,44.068,1.099988,0.262
12,3.916,47.984,0.970229,0.255
13,3.896,51.880,1.063646,0.256
14,3.855,55.734,1.003136,0.262
15,3.814,59.548,0.963334,0.258
16,3.916,63.464,0.994553,0.256
17,3.969,67.433,0.963344,0.262
18,3.903,71.337,0.984041,0.714
19,4.369,75.705,1.001929,0.720
20,4.211,79.917,1.029941,0.698
21,3.998,83.915,0.945999,0.704
22,4.939,88.854,0.969412,0.721
23,4.232,93.086,1.005451,0.714
24,4.231,97.317,1.057486,0.714
25,4.058,101.375,0.944934,0.714
26,3.995,105.370,0.932977,0.726
27,3.881,109.250,1.042107,0.727
28,4.201,113.451,1.050287,0.740
29,3.960,117.411,1.013630,0.714
30,4.242,121.654,1.058944,0.737
31,4.368,126.021,1.138261,0.701
32,3.854,129.875,1.040412,0.715
33,4.403,134.278,0.938217,0.703
34,4.121,138.399,0.904051,0.714
35,4.345,142.745,0.973990,0.730
36,4.655,147.400,0.908190,1.901
37,4.365,151.765,0.902693,1.886
38,4.547,156.312,0.914668,1.957
39,4.273,160.585,0.924438,1.900
40,4.731,165.316,0.918532,1.948
41,4.698,170.014,0.910494,1.876
42,4.676,174.690,0.977052,1.770
43,4.984,179.674,0.943701,1.961
44,4.541,184.215,1.049620,1.901
45,4.733,188.947,1.037322,1.758
46,4.704,193.652,0.804067,1.947
47,4.806,198.457,0.935285,1.844
48,4.593,203.051,1.018387,1.948
49,4.347,207.398,0.971624,1.827
50,4.645,212.043,0.989386,1.971
