epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.768,3.768,1.440579,0.261
2,3.999,7.767,1.224586,0.261
3,3.229,10.996,1.005527,0.262
4,3.588,14.584,1.121793,0.257
5,3.488,18.072,1.137865,0.262
6,3.706,21.778,1.238833,0.262
7,3.620,25.398,1.120145,0.262
8,3.684,29.081,1.098473,0.684
9,3.974,33.055,1.045058,0.674
10,4.073,37.128,1.146019,0.702
11,3.837,40.964,1.073202,0.715
12,3.778,44.742,1.003603,0.716
13,3.793,48.535,1.028581,0.724
14,3.697,52.232,0.990148,0.722
15,4.558,56.790,1.030885,1.821
16,4.503,61.293,0.981580,1.854
17,4.425,65.718,0.989429,1.852
18,4.377,70.095,1.001567,1.852
19,5.010,75.105,1.005594,1.780
20,4.351,79.456,1.030963,1.829
