epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.214,5.214,1.435394,1.889
2,5.619,10.833,1.137524,1.973
3,5.387,16.220,1.220271,1.757
4,4.757,20.977,1.033572,1.861
5,4.854,25.831,1.151332,1.778
6,4.820,30.651,0.951892,1.877
7,4.597,35.248,1.010299,1.844
8,4.704,39.952,1.044722,1.908
9,5.052,45.004,0.907652,1.889
10,5.057,50.062,1.009264,1.953
11,4.756,54.818,1.084043,1.872
12,4.854,59.672,1.054318,1.817
13,4.497,64.169,1.039432,1.751
14,4.604,68.773,0.933283,1.801
15,4.635,73.408,0.950194,1.793
16,5.132,78.540,1.031380,1.851
17,4.385,82.926,1.146751,1.743
18,4.749,87.674,1.065040,1.879
19,4.766,92.441,0.956909,1.853
20,4.558,96.999,0.932551,1.835
21,4.655,101.655,0.989261,1.906
22,4.542,106.196,1.051184,1.740
23,5.031,111.227,1.125929,1.838
24,5.099,116.326,0.934685,1.949
25,4.711,121.036,0.942292,1.920
26,4.877,125.913,1.097502,1.805
27,4.627,130.540,1.048867,1.892
28,4.856,135.396,1.043386,1.877
29,4.919,140.315,0.909337,1.866
30,4.784,145.099,0.979738,1.947
31,4.928,150.026,1.136229,1.973
32,4.678,154.704,0.870165,1.847
33,5.026,159.730,1.119336,1.839
34,4.791,164.521,0.988954,1.919
35,4.752,169.273,0.900134,1.876
36,4.919,174.192,0.942050,1.870
37,4.556,178.748,0.947049,1.877
38,4.540,183.287,0.916875,1.852
39,4.248,187.536,0.996725,1.883
40,4.529,192.064,0.921429,1.821
41,4.391,196.456,1.018759,1.934
42,4.490,200.945,1.058052,1.886
43,4.814,205.759,1.005659,1.872
44,4.218,209.977,1.070776,1.912
45,4.620,214.597,1.048416,1.802
46,4.294,218.891,1.003190,1.779
47,4.546,223.437,1.012294,1.918
48,4.276,227.713,1.030905,1.945
49,4.001,231.715,0.953665,1.839
50,4.887,236.602,0.972295,1.883
