step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,23.157,23.157,0.583993,0.923
200,23.600,46.756,0.502640,0.921
300,25.022,71.778,0.496356,0.920
400,24.780,96.558,0.488183,0.921
500,24.185,120.743,0.495130,0.921
600,21.308,142.052,0.489797,0.923
700,22.583,164.635,0.486258,0.921
800,23.329,187.964,0.467236,0.920
900,22.468,210.432,0.462235,0.912
1000,22.908,233.340,0.463501,0.921
1100,24.012,257.352,0.445435,0.920
1200,24.263,281.615,0.449136,0.923
1300,24.335,305.950,0.457697,0.921
1400,23.179,329.129,0.469967,0.921
1500,23.702,352.831,0.465385,0.920
1600,20.725,373.556,0.459750,0.921
1700,23.617,397.173,0.457144,0.923
1800,23.476,420.649,0.461463,0.920
1900,22.866,443.515,0.453591,0.920
2000,20.550,464.065,0.465840,0.921
2100,23.053,487.118,0.461590,0.923
2200,25.390,512.508,0.448752,0.920
2300,24.250,536.758,0.464995,0.923
2400,24.735,561.493,0.453686,0.923
2500,24.336,585.828,0.473891,0.921
2600,24.721,610.549,0.473138,0.921
2700,24.470,635.019,0.479443,0.920
2800,24.035,659.055,0.466800,0.923
2900,22.807,681.862,0.454932,0.921
3000,23.015,704.877,0.466550,0.923
3100,21.768,726.645,0.471102,0.923
3200,23.016,749.661,0.457525,0.923
3300,30.650,780.311,0.460239,0.923
3400,29.117,809.428,0.442652,0.920
3500,28.466,837.895,0.444119,0.923
3600,28.832,866.727,0.467375,0.920
3700,30.948,897.675,0.447791,0.923
3800,30.128,927.803,0.466124,0.923
3900,28.084,955.887,0.454974,0.921
4000,26.556,982.443,0.444558,0.921
4100,27.094,1009.537,0.458774,0.923
4200,29.881,1039.418,0.457859,0.923
4300,29.428,1068.847,0.444688,0.923
4400,29.595,1098.442,0.453620,0.921
4500,28.837,1127.278,0.466533,0.923
4600,27.787,1155.065,0.461500,0.920
4700,28.142,1183.207,0.460124,0.921
4800,29.977,1213.184,0.447789,0.921
4900,30.124,1243.308,0.458761,0.921
5000,27.157,1270.465,0.465207,0.923
5100,31.736,1302.202,0.463491,0.923
5200,28.005,1330.207,0.467724,0.920
5300,28.597,1358.804,0.458154,0.923
5400,27.275,1386.079,0.461526,0.921
5500,29.984,1416.063,0.458666,0.923
5600,29.230,1445.293,0.470389,0.923
5700,28.368,1473.661,0.456062,0.923
5800,30.240,1503.901,0.468678,0.912
5900,29.132,1533.033,0.469415,0.923
6000,27.689,1560.722,0.471778,0.920
6100,29.453,1590.174,0.477854,0.923
6200,29.721,1619.896,0.468347,0.912
6300,30.447,1650.343,0.474201,0.920
6400,29.255,1679.598,0.463758,0.921
6500,26.946,1706.543,0.467440,0.923
6600,31.487,1738.030,0.458452,0.921
6700,27.113,1765.143,0.466681,0.921
6800,30.925,1796.068,0.469108,0.921
6900,45.401,1841.469,0.450544,0.923
7000,40.863,1882.331,0.456616,0.923
7100,48.848,1931.179,0.448345,0.923
7200,41.427,1972.605,0.450016,0.921
7300,41.807,2014.412,0.460401,0.921
7400,39.462,2053.874,0.456343,0.923
7500,38.475,2092.348,0.447242,0.921
7600,33.845,2126.194,0.454007,0.923
7700,32.895,2159.088,0.466757,0.921
7800,35.286,2194.375,0.461542,0.921
7900,34.368,2228.742,0.458605,0.921
8000,36.308,2265.050,0.457986,0.921
8100,34.430,2299.480,0.456705,0.921
8200,33.718,2333.198,0.459488,0.921
8300,34.362,2367.560,0.465757,0.920
8400,35.761,2403.321,0.465997,0.921
8500,37.799,2441.120,0.467365,0.920
8600,33.968,2475.088,0.459106,0.921
8700,38.046,2513.134,0.465483,0.921
8800,38.428,2551.562,0.461508,0.920
8900,37.301,2588.863,0.465965,0.923
9000,38.371,2627.234,0.474739,0.920
9100,33.190,2660.424,0.469437,0.923
9200,34.023,2694.447,0.475627,0.921
9300,33.431,2727.878,0.464871,0.923
9400,32.662,2760.540,0.462531,0.921
9500,43.733,2804.272,0.477127,0.923
9600,39.654,2843.927,0.475109,0.920
9700,32.507,2876.434,0.465945,0.923
9800,37.234,2913.667,0.472418,0.923
9900,30.448,2944.116,0.468947,0.921
10000,37.608,2981.723,0.478710,0.920
