step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,33.776,33.776,0.556442,0.922
200,30.994,64.770,0.505408,0.925
300,29.821,94.591,0.491589,0.921
400,33.269,127.860,0.458139,0.925
500,31.138,158.998,0.451294,0.922
600,30.954,189.952,0.460734,0.908
700,29.259,219.211,0.455859,0.921
800,31.498,250.709,0.454611,0.912
900,33.606,284.315,0.439775,0.922
1000,30.925,315.240,0.463301,0.925
1100,32.023,347.263,0.458738,0.925
1200,30.469,377.731,0.435624,0.922
1300,30.535,408.266,0.457064,0.923
1400,32.102,440.368,0.463627,0.923
1500,31.031,471.399,0.456655,0.927
1600,32.838,504.237,0.460681,0.927
1700,30.353,534.590,0.455907,0.927
1800,28.401,562.990,0.455685,0.927
1900,27.925,590.915,0.463542,0.913
2000,27.542,618.457,0.451626,0.927
2100,31.020,649.477,0.453599,0.923
2200,31.666,681.143,0.449089,0.927
2300,31.578,712.722,0.449840,0.927
2400,30.953,743.675,0.455801,0.927
2500,29.899,773.574,0.449037,0.922
2600,29.549,803.123,0.451043,0.922
2700,31.504,834.627,0.446908,0.927
2800,31.554,866.181,0.454796,0.922
2900,31.189,897.371,0.460206,0.922
3000,31.187,928.557,0.464698,0.927
3100,32.478,961.035,0.454333,0.927
3200,30.987,992.022,0.470262,0.922
3300,38.234,1030.256,0.451642,0.927
3400,38.372,1068.627,0.455294,0.922
3500,38.836,1107.463,0.442682,0.913
3600,38.821,1146.284,0.443473,0.922
3700,37.285,1183.569,0.441817,0.923
3800,37.594,1221.162,0.455503,0.926
3900,36.097,1257.260,0.443560,0.923
4000,36.456,1293.716,0.459182,0.923
4100,39.999,1333.715,0.461986,0.923
4200,40.004,1373.719,0.456409,0.913
4300,36.407,1410.126,0.451086,0.913
4400,36.714,1446.840,0.437305,0.923
4500,36.827,1483.667,0.466732,0.927
4600,36.925,1520.591,0.459494,0.923
4700,37.140,1557.731,0.465792,0.927
4800,38.831,1596.563,0.464402,0.923
4900,28.725,1625.288,0.445597,0.923
5000,31.946,1657.234,0.454860,0.923
5100,33.038,1690.271,0.446180,0.927
5200,34.667,1724.938,0.451934,0.927
5300,32.951,1757.889,0.448738,0.927
5400,32.239,1790.128,0.447894,0.927
5500,28.513,1818.642,0.452850,0.913
5600,27.119,1845.761,0.443977,0.927
5700,27.730,1873.490,0.449920,0.923
5800,30.106,1903.597,0.457465,0.923
5900,28.858,1932.454,0.447249,0.923
6000,28.284,1960.738,0.448425,0.927
6100,27.992,1988.730,0.441289,0.922
6200,29.398,2018.128,0.443388,0.922
6300,30.359,2048.487,0.439458,0.927
6400,30.312,2078.799,0.447800,0.922
6500,29.205,2108.004,0.453208,0.922
6600,29.321,2137.326,0.458361,0.927
6700,30.509,2167.835,0.448895,0.927
6800,29.059,2196.893,0.464743,0.922
6900,55.074,2251.967,0.451268,0.922
7000,48.488,2300.455,0.458670,0.927
7100,45.602,2346.058,0.468831,0.927
7200,40.870,2386.928,0.451827,0.927
7300,56.474,2443.402,0.456943,0.926
7400,60.798,2504.200,0.455285,0.926
7500,57.451,2561.651,0.449673,0.922
7600,59.328,2620.978,0.452334,0.922
7700,58.198,2679.176,0.470041,0.912
7800,52.242,2731.419,0.460587,0.922
7900,52.224,2783.643,0.452484,0.926
8000,53.391,2837.034,0.469105,0.919
8100,55.579,2892.612,0.478076,0.912
8200,48.286,2940.899,0.467447,0.926
8300,48.409,2989.308,0.454329,0.909
8400,53.646,3042.954,0.458938,0.926
8500,30.179,3073.133,0.442216,0.923
8600,32.370,3105.504,0.451613,0.923
8700,31.760,3137.263,0.442291,0.927
8800,33.100,3170.363,0.448652,0.927
8900,32.746,3203.109,0.447070,0.898
9000,32.631,3235.740,0.460609,0.923
9100,31.594,3267.334,0.453803,0.923
9200,33.978,3301.312,0.441636,0.923
9300,31.273,3332.586,0.452686,0.923
9400,29.769,3362.355,0.453573,0.923
9500,30.705,3393.059,0.456021,0.913
9600,32.975,3426.034,0.462103,0.923
9700,27.576,3453.610,0.438628,0.922
9800,29.025,3482.635,0.440971,0.922
9900,30.648,3513.282,0.436976,0.927
10000,30.035,3543.317,0.445078,0.922
