step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,24.476,24.476,0.583993,0.923
200,24.813,49.289,0.502640,0.921
300,26.165,75.454,0.496356,0.920
400,25.968,101.422,0.488183,0.921
500,24.490,125.911,0.495381,0.920
600,24.387,150.299,0.484531,0.908
700,24.074,174.373,0.490661,0.921
800,25.113,199.486,0.479861,0.912
900,24.877,224.363,0.482166,0.920
1000,25.012,249.375,0.477706,0.907
1100,24.523,273.897,0.472711,0.923
1200,24.364,298.262,0.472373,0.923
1300,23.220,321.482,0.474629,0.908
1400,23.848,345.329,0.474340,0.923
1500,23.886,369.215,0.477660,0.923
1600,23.335,392.550,0.471978,0.923
1700,32.962,425.512,0.454182,0.921
1800,30.521,456.033,0.473443,0.920
1900,33.397,489.431,0.469846,0.923
2000,31.627,521.058,0.472755,0.923
2100,31.936,552.993,0.460272,0.923
2200,32.090,585.083,0.457438,0.920
2300,31.746,616.828,0.467323,0.923
2400,29.541,646.369,0.456671,0.923
2500,29.890,676.260,0.460547,0.923
2600,30.657,706.916,0.476676,0.923
2700,30.955,737.871,0.467152,0.923
2800,32.484,770.355,0.478870,0.921
2900,30.827,801.181,0.466399,0.920
3000,30.614,831.796,0.475183,0.923
3100,32.326,864.122,0.471135,0.921
3200,34.947,899.068,0.475437,0.923
3300,44.598,943.666,0.473718,0.920
3400,42.041,985.707,0.460312,0.921
3500,38.017,1023.724,0.462493,0.923
3600,39.306,1063.030,0.474219,0.920
3700,36.409,1099.440,0.468408,0.923
3800,35.140,1134.579,0.456738,0.921
3900,34.755,1169.334,0.465995,0.923
4000,36.134,1205.468,0.469530,0.923
4100,44.556,1250.024,0.475340,0.921
4200,38.696,1288.720,0.465215,0.923
4300,39.378,1328.098,0.478446,0.923
4400,48.484,1376.582,0.469212,0.921
4500,40.846,1417.428,0.470439,0.920
4600,44.504,1461.932,0.474110,0.921
4700,43.290,1505.222,0.486453,0.923
4800,50.487,1555.709,0.486501,0.923
4900,43.445,1599.154,0.469759,0.923
5000,39.180,1638.333,0.478402,0.923
5100,49.421,1687.754,0.472925,0.912
5200,47.016,1734.771,0.476935,0.923
5300,42.947,1777.718,0.480927,0.912
5400,44.679,1822.397,0.476139,0.923
5500,53.728,1876.125,0.480637,0.923
5600,44.826,1920.951,0.472630,0.923
5700,45.097,1966.048,0.480119,0.921
5800,50.379,2016.427,0.466578,0.923
5900,40.459,2056.886,0.471857,0.921
6000,49.196,2106.082,0.488346,0.920
6100,40.616,2146.698,0.474433,0.923
6200,38.460,2185.159,0.479114,0.923
6300,35.207,2220.366,0.473712,0.921
6400,38.968,2259.333,0.470392,0.921
6500,33.958,2293.291,0.464152,0.912
6600,39.301,2332.592,0.476661,0.921
6700,32.982,2365.574,0.473704,0.921
6800,39.298,2404.872,0.484812,0.923
6900,40.795,2445.667,0.484602,0.912
7000,36.139,2481.806,0.480480,0.923
7100,38.748,2520.555,0.473417,0.921
7200,35.327,2555.881,0.473354,0.921
7300,37.112,2592.993,0.465745,0.923
7400,36.353,2629.346,0.464702,0.923
7500,36.907,2666.253,0.472163,0.912
7600,44.093,2710.347,0.469028,0.923
7700,43.154,2753.500,0.480988,0.921
7800,39.529,2793.029,0.482220,0.921
7900,39.998,2833.027,0.473299,0.921
8000,41.510,2874.537,0.478472,0.921
8100,34.387,2908.924,0.459845,0.912
8200,43.740,2952.665,0.479250,0.923
8300,36.666,2989.331,0.471187,0.921
8400,37.913,3027.244,0.467954,0.923
8500,40.926,3068.170,0.461643,0.921
8600,38.183,3106.354,0.482147,0.921
8700,36.980,3143.334,0.478371,0.923
8800,35.662,3178.996,0.464021,0.923
8900,36.553,3215.549,0.472689,0.921
9000,41.584,3257.133,0.464485,0.923
9100,36.910,3294.042,0.472313,0.921
9200,36.724,3330.767,0.475171,0.920
9300,37.742,3368.509,0.468446,0.923
9400,41.404,3409.912,0.464004,0.920
9500,37.382,3447.294,0.474097,0.907
9600,40.261,3487.554,0.479219,0.920
9700,33.586,3521.140,0.478951,0.921
9800,39.948,3561.089,0.477358,0.912
9900,39.380,3600.469,0.465978,0.923
10000,37.412,3637.881,0.476544,0.921
