step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,33.270,33.270,0.530463,0.920
200,32.369,65.638,0.480784,0.920
300,30.354,95.993,0.475029,0.924
400,33.500,129.493,0.443120,0.924
500,29.838,159.331,0.456982,0.924
600,32.078,191.409,0.447710,0.892
700,31.432,222.840,0.452699,0.911
800,29.793,252.634,0.454136,0.908
900,28.155,280.789,0.465570,0.920
1000,28.242,309.031,0.457643,0.919
1100,31.963,340.994,0.449852,0.919
1200,32.946,373.939,0.464096,0.924
1300,30.697,404.636,0.469501,0.925
1400,32.471,437.107,0.463546,0.921
1500,28.692,465.799,0.457063,0.921
1600,30.112,495.911,0.467940,0.921
1700,37.293,533.204,0.452541,0.925
1800,40.451,573.654,0.452738,0.911
1900,37.462,611.116,0.450495,0.921
2000,39.582,650.698,0.463057,0.925
2100,41.614,692.312,0.465288,0.921
2200,39.288,731.601,0.460669,0.925
2300,37.414,769.014,0.471630,0.921
2400,40.585,809.599,0.468090,0.925
2500,29.639,839.238,0.455958,0.922
2600,31.610,870.848,0.454522,0.913
2700,30.712,901.560,0.451727,0.924
2800,32.806,934.366,0.443224,0.921
2900,28.830,963.196,0.448399,0.925
3000,32.574,995.770,0.452666,0.922
3100,31.725,1027.495,0.455338,0.925
3200,31.780,1059.276,0.454954,0.922
3300,56.813,1116.088,0.441636,0.925
3400,44.271,1160.359,0.457086,0.913
3500,47.502,1207.861,0.461755,0.925
3600,47.060,1254.921,0.470895,0.922
3700,29.584,1284.505,0.438093,0.921
3800,28.553,1313.059,0.448852,0.925
3900,31.716,1344.775,0.436916,0.925
4000,27.289,1372.064,0.440424,0.913
4100,29.691,1401.755,0.442220,0.925
4200,30.626,1432.380,0.438322,0.922
4300,31.449,1463.830,0.454747,0.925
4400,30.092,1493.922,0.445619,0.921
4500,29.923,1523.844,0.450643,0.922
4600,30.362,1554.206,0.454877,0.925
4700,28.713,1582.919,0.458765,0.922
4800,28.783,1611.702,0.455861,0.925
4900,31.088,1642.790,0.461002,0.925
5000,30.052,1672.841,0.455878,0.921
5100,29.661,1702.503,0.447273,0.921
5200,28.083,1730.585,0.459216,0.921
5300,29.645,1760.230,0.443272,0.925
5400,30.094,1790.325,0.453275,0.921
5500,31.622,1821.946,0.457523,0.925
5600,30.976,1852.923,0.465265,0.921
5700,30.797,1883.720,0.457103,0.925
5800,30.496,1914.216,0.454809,0.925
5900,29.616,1943.831,0.447786,0.921
6000,28.832,1972.663,0.454695,0.925
6100,31.572,2004.235,0.459038,0.925
6200,29.384,2033.619,0.454580,0.921
6300,28.762,2062.381,0.445325,0.921
6400,27.274,2089.656,0.457150,0.921
6500,28.390,2118.046,0.441221,0.925
6600,28.666,2146.712,0.451676,0.921
6700,30.240,2176.952,0.455828,0.925
6800,29.776,2206.729,0.464025,0.921
6900,29.389,2236.118,0.455618,0.925
7000,28.960,2265.077,0.453566,0.925
7100,28.167,2293.244,0.446190,0.921
7200,27.379,2320.624,0.452662,0.925
7300,30.586,2351.210,0.457516,0.925
7400,29.048,2380.258,0.453567,0.921
7500,28.608,2408.866,0.444053,0.921
7600,27.122,2435.988,0.455748,0.921
7700,28.603,2464.591,0.440059,0.925
7800,32.245,2496.836,0.450453,0.921
7900,33.572,2530.408,0.454607,0.925
8000,33.058,2563.466,0.463068,0.921
8100,32.985,2596.451,0.454617,0.925
8200,32.448,2628.899,0.452725,0.925
8300,31.525,2660.424,0.444756,0.921
8400,30.922,2691.345,0.451538,0.925
8500,32.705,2724.050,0.456759,0.925
8600,29.463,2753.512,0.452617,0.921
8700,28.263,2781.776,0.442779,0.921
8800,26.848,2808.624,0.454799,0.921
8900,28.801,2837.425,0.439177,0.925
9000,28.906,2866.331,0.449382,0.921
9100,30.646,2896.977,0.453615,0.925
9200,29.678,2926.655,0.462697,0.921
9300,30.061,2956.716,0.453837,0.925
9400,28.935,2985.651,0.451361,0.925
9500,28.109,3013.760,0.443629,0.921
9600,27.369,3041.129,0.450856,0.925
9700,32.576,3073.705,0.455763,0.925
9800,31.808,3105.513,0.451908,0.921
9900,31.165,3136.678,0.442028,0.921
10000,29.485,3166.162,0.453807,0.921
