step,toy_roc_auc
100,0.9259
200,0.9907
300,1.0000
400,0.9960
500,0.9960
600,0.9960
700,0.9934
800,0.9934
900,0.9934
1000,0.9974
1100,0.9987
1200,0.9987
1300,0.9987
1400,0.9947
1500,0.9947
1600,0.9934
1700,0.9934
1800,0.9934
1900,0.9934
2000,0.9934
2100,0.9934
2200,0.9934
2300,0.9934
2400,0.9934
2500,0.9934
2600,0.9934
2700,0.9947
2800,0.9947
2900,0.9960
3000,0.9960
3100,0.9960
3200,0.9960
3300,0.9960
3400,0.9960
3500,0.9960
3600,0.9960
3700,0.9960
3800,0.9960
3900,0.9960
4000,0.9960
4100,0.9960
4200,0.9960
4300,0.9960
4400,0.9960
4500,0.9960
4600,0.9960
4700,0.9960
4800,0.9960
4900,0.9960
5000,0.9960
5100,0.9960
5200,0.9960
5300,0.9974
5400,0.9974
5500,0.9974
5600,0.9974
5700,0.9974
5800,0.9974
5900,0.9974
6000,0.9974
6100,0.9974
6200,0.9974
6300,0.9974
6400,0.9974
6500,0.9974
6600,0.9974
6700,0.9974
6800,0.9974
6900,0.9974
7000,0.9974
7100,0.9974
7200,0.9974
7300,0.9974
7400,0.9974
7500,0.9974
7600,0.9974
7700,0.9974
7800,0.9974
7900,0.9974
8000,0.9974
8100,0.9974
8200,0.9974
8300,0.9974
8400,0.9974
8500,0.9974
8600,0.9974
8700,0.9974
8800,0.9974
8900,0.9974
9000,0.9987
9100,0.9987
9200,0.9987
9300,0.9987
9400,0.9987
9500,0.9987
9600,0.9987
9700,0.9987
9800,0.9987
9900,0.9987
10000,0.9987
