epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.597,4.597,1.395046,1.978
2,4.777,9.374,1.060267,1.800
3,4.810,14.185,1.231953,1.870
4,4.801,18.985,1.031858,1.904
5,4.521,23.506,1.135632,1.873
6,4.852,28.358,1.017108,1.840
7,4.796,33.154,0.987984,1.971
8,4.636,37.790,1.008271,1.918
9,4.471,42.261,1.103632,1.835
10,4.841,47.101,1.011834,1.930
11,4.745,51.846,0.981631,1.836
12,5.213,57.058,1.096183,1.901
13,5.874,62.933,0.984310,1.891
14,4.556,67.488,1.048512,1.740
15,4.490,71.979,0.967319,1.901
16,4.945,76.924,1.058820,1.971
17,4.845,81.769,1.068997,1.838
18,4.754,86.523,0.959465,1.882
19,5.128,91.651,0.908173,1.918
20,4.405,96.056,1.016478,1.842
21,4.561,100.617,1.071700,1.947
22,4.282,104.899,0.868556,1.930
23,4.833,109.732,0.976324,1.847
24,4.799,114.531,1.096545,1.890
25,5.045,119.576,1.035994,1.801
26,4.797,124.372,1.051834,1.918
27,4.518,128.891,0.934577,1.803
28,4.394,133.285,0.964484,1.843
29,4.879,138.164,0.920150,1.929
30,4.416,142.580,1.047135,1.947
31,4.765,147.345,0.963748,1.907
32,4.544,151.889,1.055409,1.864
33,4.742,156.631,1.065188,1.807
34,4.607,161.239,0.994536,1.881
35,4.551,165.789,1.061833,1.919
36,3.617,169.406,0.762643,0.733
37,3.484,172.890,0.761562,0.727
38,3.424,176.314,0.689499,0.741
39,3.607,179.921,0.743831,0.719
40,3.381,183.302,0.777415,0.741
41,3.354,186.656,0.708287,0.716
42,3.268,189.924,0.731927,0.710
43,3.570,193.494,0.737836,0.699
44,3.314,196.808,0.721439,0.727
45,3.414,200.222,0.687515,0.712
46,3.460,203.682,0.710594,0.696
47,3.641,207.324,0.697150,0.705
48,3.453,210.777,0.706119,0.729
49,3.428,214.205,0.763832,0.696
50,3.530,217.734,0.768972,0.721
51,3.510,221.245,0.710037,0.713
52,3.408,224.652,0.665975,0.707
53,3.258,227.911,0.698421,0.688
54,3.628,231.538,0.706056,0.681
55,3.365,234.903,0.750120,0.713
56,3.472,238.375,0.696614,0.726
57,3.334,241.710,0.710938,0.726
58,3.672,245.381,0.684995,0.740
59,3.448,248.829,0.718490,0.735
60,3.340,252.169,0.673818,0.688
61,3.587,255.757,0.718681,0.688
62,3.296,259.053,0.762899,0.707
63,3.489,262.542,0.783714,0.679
64,3.397,265.939,0.785403,0.688
65,3.636,269.575,0.765752,0.697
66,3.289,272.864,0.677304,0.694
67,3.368,276.231,0.735093,0.727
68,3.425,279.656,0.698004,0.700
69,3.585,283.241,0.746359,0.735
70,3.341,286.581,0.721725,0.707
71,2.992,289.573,0.514258,0.260
72,2.960,292.533,0.491399,0.260
73,3.222,295.755,0.498309,0.260
74,2.972,298.727,0.497463,0.250
75,3.000,301.727,0.460446,0.260
76,2.997,304.724,0.483815,0.259
77,3.216,307.940,0.495688,0.259
78,2.997,310.936,0.474813,0.259
79,2.953,313.889,0.479257,0.260
80,2.913,316.803,0.454007,0.259
81,3.116,319.919,0.446404,0.259
82,2.927,322.846,0.456219,0.259
83,2.991,325.837,0.448430,0.259
84,3.138,328.975,0.443487,0.260
85,2.935,331.909,0.484232,0.260
86,2.913,334.822,0.442541,0.259
87,2.971,337.793,0.448788,0.260
88,3.111,340.903,0.434694,0.257
89,2.887,343.790,0.452893,0.260
90,2.939,346.729,0.448293,0.260
91,2.993,349.722,0.461430,0.260
92,3.101,352.823,0.453589,0.260
93,2.925,355.748,0.417598,0.259
94,2.992,358.740,0.458555,0.260
95,2.963,361.703,0.442376,0.260
96,3.154,364.857,0.486024,0.260
97,3.041,367.898,0.480892,0.260
98,3.013,370.911,0.462922,0.260
99,2.969,373.880,0.432757,0.259
100,3.089,376.969,0.459762,0.260
