epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,6.776,6.776,1.461762,0.712
2,36.744,43.520,1.084903,0.683
3,3.971,47.491,1.052764,0.735
4,15.756,63.248,1.111675,0.730
5,5.892,69.139,0.999546,0.735
6,9.980,79.119,1.098965,0.694
7,22.091,101.210,1.062983,0.647
8,5.071,106.281,1.054561,0.704
9,6.009,112.290,1.026411,0.772
10,4.326,116.616,1.018622,0.646
11,5.260,121.876,1.169903,0.684
12,5.763,127.639,1.167410,0.686
13,3.917,131.556,1.123196,0.728
14,7.461,139.016,1.103160,0.711
15,7.928,146.944,1.074179,0.641
16,4.414,151.358,1.074266,0.658
17,4.437,155.795,1.027773,0.690
18,5.644,161.439,1.209424,1.322
19,3.936,165.374,0.929418,1.311
20,4.008,169.382,0.918511,1.292
21,4.243,173.626,0.983678,1.373
22,3.836,177.462,0.881980,1.364
23,4.394,181.856,0.965570,1.387
24,4.323,186.179,1.064056,1.282
25,4.201,190.380,1.006010,1.276
26,3.615,193.995,0.938913,1.306
27,4.212,198.207,1.022120,1.292
28,4.838,203.045,1.003631,1.287
29,4.158,207.203,1.104878,1.377
30,4.347,211.551,1.012040,1.413
31,3.649,215.200,0.904416,1.395
32,4.190,219.390,1.140142,1.230
33,4.127,223.517,1.119791,1.394
34,3.799,227.316,1.032703,1.301
35,3.848,231.164,0.825460,1.384
36,4.959,236.123,1.027328,2.115
37,4.492,240.615,0.925822,1.928
38,4.403,245.018,0.795379,1.830
39,4.141,249.158,1.053300,1.648
40,4.962,254.120,0.896548,1.980
41,4.687,258.807,0.982880,2.023
42,4.509,263.316,0.988887,1.910
43,4.810,268.126,0.852866,1.754
44,4.893,273.019,1.041259,2.080
45,4.708,277.726,0.852262,1.914
46,4.867,282.594,0.969150,1.830
47,4.744,287.338,1.001919,1.863
48,4.752,292.089,1.040129,1.803
49,4.668,296.757,0.934043,2.016
50,4.676,301.433,0.960874,1.935
