epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,6.352,6.352,1.461762,0.712
2,34.385,40.737,1.084903,0.683
3,3.721,44.458,1.052764,0.735
4,14.522,58.980,1.111675,0.730
5,5.565,64.545,0.999546,0.735
6,9.480,74.025,1.098965,0.694
7,20.999,95.023,1.062983,0.647
8,3.971,98.994,1.114186,1.402
9,4.380,103.374,1.040242,1.206
10,4.022,107.397,1.000210,1.318
11,4.145,111.542,1.065107,1.336
12,4.375,115.917,0.981427,1.264
13,4.207,120.124,1.032585,1.409
14,4.361,124.485,1.089078,1.254
15,4.374,128.859,1.129009,1.888
16,4.433,133.292,1.013536,1.878
17,4.104,137.396,0.962047,1.986
18,4.229,141.625,1.070408,2.047
19,4.519,146.145,0.898115,1.776
20,4.448,150.593,0.956310,1.778
