step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,28.536,28.536,0.815239,0.398
200,27.480,56.016,0.693738,0.398
300,29.828,85.844,0.693540,0.397
400,28.328,114.171,0.693554,0.398
500,30.664,144.836,0.693495,0.398
600,27.535,172.371,0.693352,0.400
700,26.514,198.885,0.693643,0.400
800,26.546,225.431,0.693196,0.398
900,34.139,259.569,0.694140,0.400
1000,37.227,296.796,0.693249,0.398
1100,29.688,326.484,0.693328,0.400
1200,27.341,353.825,0.686259,0.394
1300,29.581,383.405,0.692865,0.398
1400,28.800,412.205,0.693392,0.398
1500,27.440,439.645,0.693253,0.398
1600,27.749,467.394,0.693327,0.400
1700,25.630,493.024,0.693202,0.398
1800,27.141,520.165,0.693139,0.400
1900,28.640,548.806,0.693284,0.400
2000,27.755,576.560,0.693320,0.393
2100,26.978,603.538,0.693235,0.400
2200,25.642,629.181,0.693205,0.398
2300,26.116,655.297,0.693150,0.400
2400,26.970,682.266,0.693466,0.400
2500,26.370,708.637,0.693260,0.393
