step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,45.532,45.532,0.535846,0.912
200,54.350,99.882,0.500815,0.909
300,47.269,147.151,0.495892,0.921
400,47.443,194.594,0.490494,0.921
500,51.415,246.009,0.487497,0.920
600,46.926,292.935,0.489727,0.925
700,49.575,342.510,0.484688,0.921
800,54.623,397.133,0.483451,0.925
900,48.852,445.985,0.478809,0.921
1000,52.182,498.168,0.491349,0.920
1100,54.986,553.153,0.482912,0.925
1200,45.178,598.332,0.479123,0.925
1300,43.806,642.138,0.482827,0.913
1400,50.839,692.977,0.477455,0.910
1500,43.794,736.771,0.479083,0.922
1600,40.066,776.837,0.479902,0.922
1700,43.889,820.726,0.480302,0.921
1800,43.496,864.222,0.483847,0.926
1900,42.718,906.940,0.480556,0.922
2000,49.108,956.048,0.477461,0.926
2100,47.500,1003.548,0.474823,0.922
2200,46.067,1049.615,0.488289,0.921
2300,48.703,1098.318,0.478827,0.926
2400,39.916,1138.234,0.476023,0.926
2500,46.452,1184.686,0.480581,0.913
2600,58.921,1243.607,0.474235,0.910
2700,47.798,1291.405,0.476257,0.922
2800,47.692,1339.097,0.477512,0.922
2900,50.054,1389.151,0.478177,0.921
3000,52.199,1441.350,0.481697,0.926
3100,46.674,1488.025,0.477977,0.922
3200,54.382,1542.406,0.474911,0.926
3300,50.967,1593.373,0.473117,0.922
3400,49.953,1643.326,0.486219,0.921
3500,52.908,1696.234,0.475881,0.926
3600,41.132,1737.365,0.473585,0.926
3700,45.676,1783.041,0.478530,0.913
3800,56.136,1839.177,0.470416,0.910
3900,48.559,1887.736,0.472515,0.922
4000,43.835,1931.571,0.474224,0.922
4100,48.284,1979.855,0.475644,0.921
4200,47.604,2027.459,0.478388,0.926
4300,46.342,2073.801,0.475932,0.922
4400,53.538,2127.338,0.472792,0.926
4500,51.151,2178.490,0.470404,0.922
4600,49.775,2228.265,0.484413,0.921
4700,53.095,2281.360,0.473203,0.926
4800,44.235,2325.595,0.471492,0.926
4900,46.550,2372.145,0.476982,0.913
5000,60.475,2432.620,0.468711,0.910
5100,51.382,2484.002,0.470129,0.922
5200,47.981,2531.983,0.472283,0.922
5300,53.255,2585.238,0.474321,0.921
5400,52.879,2638.117,0.476034,0.926
5500,48.128,2686.245,0.474023,0.922
5600,50.708,2736.953,0.470494,0.926
5700,48.939,2785.892,0.468705,0.922
5800,47.081,2832.973,0.483385,0.921
5900,49.879,2882.852,0.471268,0.926
6000,48.012,2930.863,0.469930,0.926
6100,42.954,2973.817,0.475892,0.913
6200,58.093,3031.911,0.466857,0.910
6300,49.602,3081.513,0.468951,0.922
6400,45.339,3126.851,0.470334,0.922
6500,49.135,3175.987,0.473272,0.921
6600,49.486,3225.472,0.474472,0.926
6700,44.519,3269.991,0.472640,0.922
6800,45.820,3315.811,0.469457,0.926
6900,43.889,3359.700,0.468298,0.922
7000,43.312,3403.011,0.481823,0.921
7100,46.429,3449.440,0.469670,0.926
7200,44.647,3494.087,0.469032,0.926
7300,43.602,3537.689,0.474774,0.913
7400,64.030,3601.718,0.465962,0.910
7500,54.711,3656.430,0.468097,0.922
7600,50.824,3707.254,0.469525,0.922
7700,55.495,3762.748,0.472235,0.921
7800,54.100,3816.849,0.473423,0.926
7900,48.606,3865.455,0.471668,0.922
8000,48.683,3914.138,0.468902,0.926
8100,47.388,3961.526,0.467276,0.922
8200,46.149,4007.675,0.480762,0.921
8300,48.747,4056.423,0.468735,0.926
8400,51.352,4107.774,0.468548,0.926
8500,42.815,4150.589,0.473980,0.913
8600,61.803,4212.392,0.465010,0.910
8700,52.080,4264.473,0.466960,0.922
8800,48.726,4313.198,0.468769,0.922
8900,54.379,4367.578,0.471487,0.921
9000,54.893,4422.470,0.472873,0.926
9100,47.760,4470.231,0.471183,0.922
9200,48.430,4518.661,0.467937,0.926
9300,47.015,4565.676,0.466265,0.922
9400,45.671,4611.347,0.480186,0.921
9500,47.699,4659.046,0.467937,0.926
9600,47.230,4706.276,0.467291,0.926
9700,42.027,4748.303,0.473544,0.913
9800,52.555,4800.858,0.464210,0.910
9900,43.743,4844.601,0.466216,0.922
10000,41.213,4885.814,0.468019,0.922
