step,toy_roc_auc
100,0.8955
200,0.9921
300,0.9947
400,0.9960
500,0.9960
600,0.9974
700,0.9947
800,0.9934
900,0.9921
1000,0.9934
1100,0.9934
1200,0.9934
1300,0.9921
1400,0.9921
1500,0.9921
1600,0.9934
1700,0.9934
1800,0.9934
1900,0.9921
2000,0.9921
2100,0.9921
2200,0.9921
2300,0.9921
2400,0.9921
2500,0.9934
2600,0.9934
2700,0.9934
2800,0.9947
2900,0.9947
3000,0.9947
3100,0.9947
3200,0.9947
3300,0.9947
3400,0.9947
3500,0.9947
3600,0.9947
3700,0.9947
3800,0.9947
3900,0.9934
4000,0.9934
4100,0.9934
4200,0.9934
4300,0.9934
4400,0.9934
4500,0.9934
4600,0.9934
4700,0.9934
4800,0.9934
4900,0.9947
5000,0.9947
5100,0.9947
5200,0.9947
5300,0.9947
5400,0.9960
5500,0.9960
5600,0.9960
5700,0.9960
5800,0.9960
5900,0.9960
6000,0.9974
6100,0.9974
6200,0.9960
6300,0.9960
6400,0.9960
6500,0.9974
6600,0.9987
6700,0.9987
6800,0.9987
6900,0.9987
7000,0.9987
7100,0.9987
7200,0.9987
7300,0.9987
7400,0.9987
7500,0.9987
7600,0.9987
7700,0.9987
7800,0.9987
7900,0.9987
8000,0.9987
8100,0.9987
8200,0.9987
8300,0.9987
8400,0.9987
8500,0.9987
8600,0.9987
8700,0.9987
8800,0.9987
8900,0.9987
9000,0.9987
9100,0.9987
9200,0.9987
9300,0.9987
9400,1.0000
9500,1.0000
9600,1.0000
9700,1.0000
9800,1.0000
9900,1.0000
10000,1.0000
