step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,42.943,42.943,0.711117,0.643
200,46.183,89.126,0.693580,0.641
300,38.375,127.501,0.693634,0.641
400,41.024,168.525,0.693448,0.641
500,46.187,214.712,0.693446,0.641
600,42.509,257.221,0.692761,0.644
700,47.181,304.402,0.707239,0.642
800,41.227,345.630,0.693548,0.642
900,44.692,390.322,0.693402,0.642
1000,49.483,439.805,0.693517,0.642
1100,41.897,481.702,0.693441,0.644
1200,42.256,523.959,0.693362,0.642
1300,44.079,568.038,0.693480,0.642
1400,39.145,607.182,0.693814,0.642
1500,41.178,648.361,0.693505,0.642
1600,37.670,686.031,0.693412,0.644
1700,38.256,724.287,0.693357,0.642
1800,37.847,762.134,0.693499,0.642
1900,33.122,795.256,0.693348,0.642
2000,38.457,833.713,0.693401,0.642
2100,42.316,876.029,0.693377,0.644
2200,46.490,922.519,0.693440,0.642
2300,42.122,964.641,0.693487,0.642
2400,46.908,1011.549,0.693355,0.642
2500,52.343,1063.893,0.693390,0.642
