epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,40.557,40.557,1.119425,0.939
2,41.062,81.619,1.028101,0.927
3,41.116,122.735,0.972228,0.930
4,43.754,166.489,0.984012,0.939
5,42.657,209.147,0.961539,0.939
6,32.870,242.017,0.950516,0.933
7,47.861,289.878,0.940499,0.930
8,34.422,324.300,0.957748,0.934
9,38.370,362.670,0.944953,0.927
10,34.832,397.502,0.923884,0.939
11,36.209,433.711,0.919727,0.939
12,39.062,472.773,0.924138,0.934
13,36.946,509.719,0.933971,0.924
14,38.990,548.708,0.959633,0.934
15,38.989,587.698,0.944540,0.930
16,46.141,633.839,0.907680,0.939
17,34.857,668.696,0.935418,0.939
18,40.251,708.947,0.935345,0.939
19,37.279,746.226,0.924096,0.939
20,37.252,783.477,0.899135,0.933
21,38.931,822.408,0.934510,0.939
22,42.389,864.798,0.907647,0.933
23,46.338,911.136,0.901492,0.939
24,35.980,947.116,0.931725,0.939
25,42.028,989.144,0.903277,0.939
