step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,43.816,43.816,0.528853,0.051
200,42.088,85.904,0.482648,0.102
300,41.934,127.838,0.454197,0.102
400,41.888,169.726,0.443305,0.102
500,52.185,221.911,0.440805,0.052
600,52.743,274.654,0.449606,0.103
700,57.670,332.324,0.453674,0.103
800,48.659,380.983,0.450551,0.103
900,43.142,424.125,0.465376,0.052
1000,42.883,467.008,0.462200,0.103
1100,42.412,509.420,0.449518,0.103
1200,42.396,551.817,0.456164,0.103
1300,42.792,594.609,0.464303,0.051
1400,42.505,637.114,0.469586,0.104
1500,42.754,679.868,0.466851,0.104
1600,42.220,722.088,0.463384,0.104
1700,42.474,764.562,0.459046,0.052
1800,42.083,806.645,0.455617,0.103
1900,41.854,848.499,0.455957,0.103
2000,41.815,890.315,0.452912,0.103
2100,42.735,933.050,0.458262,0.052
2200,42.558,975.608,0.455406,0.103
2300,42.249,1017.857,0.455282,0.103
2400,42.524,1060.381,0.456169,0.103
2500,42.877,1103.258,0.463467,0.052
2600,42.543,1145.801,0.460295,0.103
2700,42.563,1188.364,0.465257,0.103
2800,42.555,1230.919,0.459182,0.103
2900,50.318,1281.237,0.474637,0.052
3000,53.128,1334.365,0.468754,0.103
3100,52.229,1386.594,0.468709,0.103
3200,52.297,1438.891,0.472018,0.103
3300,43.967,1482.858,0.456994,0.052
3400,43.436,1526.294,0.458763,0.103
3500,42.990,1569.284,0.453468,0.103
3600,42.982,1612.266,0.458752,0.103
3700,43.253,1655.519,0.459841,0.052
3800,42.871,1698.390,0.461097,0.103
3900,43.168,1741.557,0.463776,0.103
4000,43.381,1784.938,0.454442,0.103
4100,44.660,1829.598,0.471078,0.052
4200,43.299,1872.896,0.463155,0.103
4300,43.035,1915.931,0.461921,0.103
4400,43.203,1959.134,0.465115,0.103
4500,43.570,2002.704,0.472357,0.052
4600,43.468,2046.172,0.474669,0.103
4700,43.355,2089.527,0.472186,0.103
4800,43.263,2132.790,0.470777,0.103
4900,43.589,2176.379,0.471226,0.052
5000,43.212,2219.591,0.466578,0.103
5100,43.206,2262.798,0.470201,0.103
5200,43.196,2305.993,0.470387,0.103
5300,43.849,2349.842,0.472355,0.052
5400,44.115,2393.957,0.468504,0.103
5500,43.712,2437.669,0.467170,0.103
5600,43.401,2481.070,0.469336,0.103
5700,42.171,2523.241,0.462932,0.052
5800,41.930,2565.172,0.474875,0.103
5900,41.947,2607.119,0.462042,0.103
6000,41.698,2648.817,0.466367,0.103
6100,43.453,2692.270,0.470548,0.051
6200,44.190,2736.461,0.474777,0.104
6300,42.759,2779.220,0.463671,0.104
6400,42.713,2821.933,0.461867,0.104
6500,43.495,2865.428,0.475746,0.051
6600,43.026,2908.454,0.474588,0.104
6700,42.894,2951.348,0.470847,0.104
6800,42.875,2994.222,0.467163,0.104
6900,42.942,3037.164,0.467639,0.052
7000,42.686,3079.850,0.468981,0.103
7100,42.584,3122.434,0.469650,0.103
7200,42.558,3164.992,0.467857,0.103
7300,43.180,3208.172,0.474390,0.052
7400,43.024,3251.196,0.469894,0.103
7500,42.866,3294.061,0.473968,0.103
7600,42.945,3337.007,0.474585,0.103
7700,50.373,3387.380,0.465286,0.052
7800,52.394,3439.774,0.466783,0.103
7900,52.265,3492.039,0.474879,0.103
8000,50.690,3542.729,0.462379,0.103
8100,48.611,3591.340,0.472070,0.052
8200,47.618,3638.959,0.469490,0.103
8300,47.506,3686.465,0.465267,0.103
8400,47.906,3734.371,0.470472,0.103
8500,49.958,3784.329,0.468246,0.052
8600,48.578,3832.907,0.460010,0.103
8700,56.816,3889.723,0.469137,0.103
8800,58.466,3948.189,0.476385,0.103
8900,43.645,3991.834,0.468099,0.052
9000,43.359,4035.193,0.466398,0.103
9100,43.180,4078.373,0.463500,0.103
9200,43.053,4121.426,0.471782,0.103
9300,43.013,4164.439,0.466689,0.052
9400,42.267,4206.706,0.464559,0.103
9500,42.466,4249.172,0.470513,0.103
9600,42.071,4291.242,0.465599,0.103
9700,42.701,4333.943,0.465738,0.051
9800,42.500,4376.443,0.467393,0.104
9900,42.389,4418.833,0.463039,0.104
10000,42.068,4460.900,0.466882,0.104
