step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,47.063,47.063,0.517728,0.051
200,45.196,92.259,0.485582,0.102
300,45.104,137.363,0.480571,0.102
400,45.082,182.445,0.471931,0.102
500,42.678,225.123,0.481392,0.052
600,42.338,267.461,0.486126,0.103
700,42.022,309.483,0.464738,0.103
800,41.992,351.475,0.456561,0.103
900,48.200,399.675,0.454629,0.051
1000,55.113,454.788,0.458220,0.104
1100,48.807,503.595,0.451181,0.104
1200,43.557,547.152,0.441772,0.104
1300,43.240,590.392,0.463168,0.052
1400,42.599,632.991,0.469145,0.103
1500,42.445,675.436,0.458510,0.103
1600,42.370,717.806,0.464345,0.103
1700,42.365,760.171,0.462299,0.051
1800,42.414,802.585,0.457146,0.104
1900,41.901,844.486,0.456983,0.104
2000,41.707,886.193,0.457210,0.104
2100,44.625,930.818,0.463794,0.052
2200,42.794,973.612,0.463459,0.103
2300,42.621,1016.234,0.461936,0.103
2400,42.623,1058.856,0.458579,0.103
2500,53.310,1112.166,0.469385,0.052
2600,52.687,1164.853,0.467980,0.103
2700,52.506,1217.359,0.466882,0.103
2800,52.450,1269.809,0.463697,0.103
2900,43.416,1313.225,0.463903,0.051
3000,43.213,1356.438,0.459635,0.104
3100,43.039,1399.478,0.458912,0.104
3200,42.826,1442.304,0.457793,0.104
3300,44.401,1486.705,0.453136,0.051
3400,42.192,1528.897,0.448721,0.104
3500,41.844,1570.741,0.454868,0.104
3600,41.904,1612.645,0.451809,0.104
3700,59.911,1672.556,0.447068,0.052
3800,55.252,1727.808,0.455381,0.103
3900,57.623,1785.431,0.451821,0.103
4000,55.846,1841.277,0.454859,0.103
4100,53.396,1894.673,0.449708,0.052
4200,46.924,1941.597,0.448374,0.103
4300,48.254,1989.851,0.446771,0.103
4400,46.919,2036.771,0.450355,0.103
4500,50.011,2086.782,0.465593,0.052
4600,49.534,2136.316,0.462634,0.103
4700,48.657,2184.973,0.467321,0.103
4800,49.471,2234.444,0.464443,0.103
4900,43.018,2277.462,0.460724,0.051
5000,42.732,2320.194,0.464368,0.104
5100,42.801,2362.995,0.457506,0.104
5200,42.654,2405.649,0.471275,0.104
5300,42.922,2448.571,0.463703,0.051
5400,42.571,2491.143,0.457595,0.104
5500,42.712,2533.855,0.465061,0.104
5600,42.283,2576.138,0.462270,0.104
5700,43.678,2619.816,0.466231,0.052
5800,43.577,2663.393,0.469443,0.103
5900,45.488,2708.881,0.466942,0.103
6000,45.382,2754.263,0.466823,0.103
6100,43.083,2797.346,0.467985,0.052
6200,42.499,2839.845,0.465621,0.103
6300,42.298,2882.142,0.472705,0.103
6400,42.268,2924.410,0.467081,0.103
6500,42.533,2966.943,0.464516,0.052
6600,42.235,3009.179,0.465476,0.103
6700,42.169,3051.348,0.473453,0.103
6800,42.025,3093.373,0.465208,0.103
6900,42.802,3136.175,0.458482,0.052
7000,42.560,3178.735,0.455054,0.103
7100,42.902,3221.637,0.455922,0.103
7200,42.309,3263.946,0.456578,0.103
7300,43.791,3307.737,0.462040,0.052
7400,43.650,3351.387,0.453672,0.103
7500,43.789,3395.176,0.456849,0.103
7600,43.256,3438.432,0.455101,0.103
7700,42.596,3481.028,0.471066,0.052
7800,42.761,3523.788,0.464337,0.103
7900,42.692,3566.480,0.468183,0.103
8000,42.528,3609.007,0.469269,0.103
8100,52.152,3661.159,0.464161,0.052
8200,52.873,3714.032,0.464842,0.103
8300,52.747,3766.780,0.464016,0.103
8400,47.826,3814.606,0.469350,0.103
8500,43.601,3858.207,0.461725,0.052
8600,43.715,3901.922,0.467280,0.103
8700,43.361,3945.283,0.459694,0.103
8800,43.936,3989.219,0.464907,0.103
8900,43.374,4032.593,0.474974,0.052
9000,42.925,4075.518,0.470104,0.103
9100,42.740,4118.258,0.465894,0.103
9200,43.228,4161.485,0.473575,0.103
9300,43.355,4204.840,0.469313,0.052
9400,43.750,4248.590,0.466385,0.103
9500,42.774,4291.363,0.472627,0.103
9600,42.774,4334.137,0.467358,0.103
9700,51.654,4385.791,0.467856,0.051
9800,46.585,4432.376,0.468837,0.104
9900,50.345,4482.720,0.464207,0.104
10000,46.484,4529.205,0.469251,0.104
