epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.748,5.748,1.456120,1.927
2,4.832,10.579,1.039579,1.730
3,4.531,15.111,1.114681,1.798
4,4.367,19.478,1.108715,1.950
5,4.546,24.024,1.087991,1.884
6,4.782,28.806,1.040052,1.911
7,4.675,33.480,1.103139,1.948
8,4.675,38.156,1.098787,1.867
9,4.455,42.610,1.037392,1.825
10,4.821,47.431,1.108160,1.851
11,4.431,51.862,0.971689,1.729
12,5.164,57.026,1.100454,1.923
13,4.886,61.912,1.052661,1.759
14,4.401,66.313,1.014066,1.798
15,4.727,71.040,1.059235,1.913
16,4.699,75.739,1.100768,1.821
17,4.599,80.338,1.035879,1.951
18,4.902,85.240,1.177440,1.703
19,4.864,90.105,0.921394,1.786
20,4.498,94.602,1.030030,1.839
21,4.777,99.379,1.106299,1.845
22,5.152,104.531,1.075268,1.909
23,4.591,109.122,1.153280,1.823
24,4.377,113.499,0.978731,1.880
25,4.847,118.346,1.044590,1.930
26,5.431,123.778,0.996690,1.857
27,4.745,128.523,1.033319,1.943
28,4.746,133.269,0.981623,1.933
29,5.241,138.510,1.069972,1.809
30,4.967,143.477,0.915103,1.849
31,4.580,148.057,0.985005,1.977
32,4.416,152.473,1.001063,1.913
33,5.154,157.627,0.940800,1.854
34,4.981,162.608,1.007640,1.901
35,4.902,167.510,1.018761,1.845
36,4.659,172.169,1.002083,1.860
37,5.531,177.700,0.957298,1.887
38,4.607,182.307,1.022023,1.874
39,5.497,187.804,1.084128,1.927
40,4.679,192.483,0.938604,1.863
41,5.057,197.540,1.058408,1.897
42,4.731,202.271,0.985924,1.881
43,5.195,207.466,0.958327,1.947
44,4.977,212.443,1.039339,1.740
45,4.523,216.966,1.041163,1.746
46,5.128,222.094,1.009343,1.929
47,4.709,226.804,0.985982,1.927
48,5.034,231.838,0.989628,1.961
49,5.146,236.983,1.037448,1.977
50,5.110,242.093,0.990208,1.810
