epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.326,5.326,1.456120,1.927
2,4.568,9.894,1.039579,1.730
3,4.269,14.163,1.114681,1.798
4,4.224,18.388,1.108715,1.950
5,4.398,22.786,1.087991,1.884
6,4.459,27.245,1.040052,1.911
7,4.415,31.660,1.103139,1.948
8,4.374,36.034,1.098787,1.867
9,4.315,40.349,1.037392,1.825
10,4.536,44.885,1.108160,1.851
11,4.201,49.086,0.971689,1.729
12,4.766,53.852,1.100454,1.923
13,4.450,58.302,1.052661,1.759
14,4.237,62.539,1.014066,1.798
15,4.515,67.054,1.059235,1.913
16,4.560,71.614,1.100768,1.821
17,4.408,76.022,1.035879,1.951
18,4.438,80.461,1.177440,1.703
19,4.623,85.083,0.921394,1.786
20,4.346,89.429,1.030030,1.839
