epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.340,4.340,0.718246,1.825
2,4.674,9.014,0.503616,1.860
3,4.408,13.422,0.507453,1.895
4,4.009,17.431,0.545570,1.916
5,4.413,21.844,0.500596,1.971
6,4.627,26.471,0.499278,1.942
7,4.284,30.755,0.489150,1.963
8,4.380,35.136,1.265546,1.860
9,4.624,39.759,0.836797,1.958
10,4.364,44.123,0.893764,1.840
11,4.701,48.824,0.859779,1.873
12,4.352,53.176,0.861794,1.871
13,4.666,57.841,0.822223,1.877
14,4.503,62.345,0.826409,1.848
15,4.494,66.839,1.128963,1.888
16,4.609,71.448,1.155686,1.850
17,4.664,76.111,1.048246,1.875
18,4.528,80.640,1.044061,1.922
19,4.776,85.415,0.989187,1.963
20,4.194,89.610,1.013286,1.907
