epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.161,3.161,0.712550,0.259
2,3.138,6.299,0.538328,0.262
3,2.901,9.200,0.495513,0.256
4,2.900,12.100,0.505394,0.262
5,2.911,15.012,0.515958,0.262
6,3.122,18.134,0.493961,0.262
7,2.930,21.064,0.536149,0.261
8,2.915,23.979,0.507302,0.262
9,2.915,26.894,0.525884,0.262
10,3.163,30.057,0.508980,0.261
11,2.836,32.893,0.499293,0.262
12,2.878,35.771,0.511618,0.256
13,2.957,38.727,0.497560,0.258
14,3.123,41.850,0.501674,0.254
15,2.884,44.734,0.466082,0.262
16,2.929,47.663,0.465045,0.257
17,2.934,50.597,0.441414,0.258
18,3.132,53.729,0.461423,0.262
19,2.935,56.664,0.484034,0.262
20,2.892,59.556,0.447258,0.262
21,2.891,62.447,0.462791,0.262
22,3.116,65.563,0.444761,0.262
23,2.903,68.466,0.477001,0.262
24,2.904,71.370,0.473958,0.262
25,2.867,74.237,0.417430,0.261
26,3.059,77.296,0.416535,0.262
27,2.963,80.258,0.435780,0.251
28,2.973,83.232,0.430072,0.262
29,3.047,86.278,0.432974,0.262
30,2.903,89.182,0.414859,0.262
31,2.963,92.144,0.430178,0.261
32,2.847,94.991,0.417242,0.258
33,3.130,98.121,0.416114,0.262
34,2.826,100.947,0.431140,0.261
35,2.897,103.843,0.427706,0.262
36,3.579,107.423,1.627740,0.671
37,3.679,111.102,0.784548,0.691
38,3.408,114.510,0.769778,0.705
39,3.658,118.168,0.878274,0.681
40,3.379,121.547,0.812305,0.717
41,3.692,125.239,0.772372,0.705
42,3.342,128.581,0.802014,0.701
43,3.537,132.118,0.833006,0.725
44,3.317,135.435,0.731904,0.706
45,3.758,139.193,0.818757,0.656
46,3.446,142.640,0.715784,0.714
47,3.335,145.975,0.728535,0.739
48,3.462,149.437,0.774577,0.690
49,3.692,153.128,0.727512,0.725
50,3.356,156.484,0.708365,0.731
51,3.249,159.733,0.880491,0.736
52,3.464,163.197,0.732310,0.736
53,3.292,166.489,0.725802,0.718
54,3.375,169.863,0.729239,0.689
55,3.218,173.081,0.747906,0.736
56,3.570,176.651,0.728690,0.738
57,3.261,179.912,0.669340,0.720
58,3.257,183.169,0.712760,0.686
59,3.276,186.445,0.740394,0.701
60,3.537,189.981,0.713717,0.736
61,3.277,193.258,0.734143,0.713
62,3.375,196.634,0.746607,0.697
63,3.548,200.182,0.701789,0.700
64,3.396,203.578,0.729454,0.729
65,3.285,206.863,0.684604,0.671
66,3.357,210.220,0.714874,0.701
67,3.588,213.808,0.763929,0.738
68,3.496,217.304,0.703060,0.736
69,3.262,220.566,0.711990,0.730
70,3.481,224.047,0.750527,0.664
71,4.547,228.595,1.444543,1.912
72,4.582,233.176,0.939223,1.894
73,4.293,237.469,1.002692,1.885
74,4.603,242.072,0.996734,1.958
75,4.266,246.338,0.796963,1.807
76,4.673,251.011,1.008478,1.961
77,4.869,255.880,1.021443,1.961
78,4.928,260.808,0.963814,1.965
79,3.847,264.655,0.901337,1.752
80,4.509,269.165,1.070166,1.850
81,4.860,274.025,1.035120,1.796
82,4.295,278.320,1.024051,1.753
83,4.344,282.663,1.140042,1.864
84,4.749,287.412,1.008030,1.807
85,4.380,291.792,1.045801,1.895
86,4.514,296.306,0.936092,1.840
87,4.432,300.738,0.995954,1.868
88,4.991,305.729,0.865216,1.880
89,4.621,310.350,1.027243,1.838
90,4.936,315.287,1.081072,1.822
91,5.311,320.598,1.022260,1.907
92,4.804,325.402,0.880612,1.781
93,4.947,330.349,1.100287,1.875
94,4.930,335.279,0.931955,1.789
95,5.119,340.398,1.026073,1.921
96,4.528,344.925,0.911373,1.892
97,4.641,349.566,0.848841,1.864
98,5.078,354.645,1.020395,1.895
99,4.946,359.590,1.119070,1.961
100,4.826,364.416,0.991602,1.981
