epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.133,3.133,0.712550,0.259
2,3.084,6.218,0.538328,0.262
3,2.889,9.106,0.495513,0.256
4,2.911,12.018,0.505394,0.262
5,3.061,15.079,1.223339,0.434
6,3.267,18.346,0.829563,0.441
7,3.040,21.385,0.821944,0.424
8,3.105,24.490,0.664271,0.437
9,3.301,27.791,0.947347,0.719
10,3.648,31.439,0.794168,0.707
11,3.478,34.917,0.916719,0.714
12,3.413,38.330,0.820292,0.739
13,3.599,41.929,0.875860,1.206
14,4.052,45.981,0.906522,1.311
15,3.873,49.854,1.011383,1.248
16,3.974,53.829,0.953044,1.256
17,4.570,58.399,1.166473,1.922
18,4.286,62.685,1.031230,1.920
19,4.982,67.667,1.084183,1.907
20,4.749,72.416,0.980257,1.863
