epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,20.383,20.383,0.541224,1.358
2,20.178,40.561,0.465329,1.293
3,18.680,59.241,0.437887,1.359
4,20.178,79.418,0.437738,1.311
5,18.837,98.256,0.431226,1.359
6,20.179,118.435,0.428359,1.318
7,20.240,138.675,0.428867,1.306
8,20.806,159.481,0.433559,1.279
9,18.682,178.163,0.417461,1.297
10,20.204,198.367,0.421286,1.283
11,18.766,217.133,0.424950,1.323
12,17.933,235.066,0.416097,1.328
13,19.404,254.470,0.408541,1.359
14,20.295,274.764,0.428276,1.294
15,18.922,293.686,0.417832,1.361
16,20.706,314.392,0.425552,1.312
17,19.171,333.563,0.424639,1.361
18,27.609,361.172,0.730312,4.869
19,34.632,395.804,0.745570,4.975
20,33.222,429.026,0.703833,5.380
21,33.548,462.574,0.698480,5.281
22,31.353,493.927,0.699567,4.818
23,31.630,525.557,0.689199,5.119
24,32.455,558.012,0.686378,5.165
25,32.546,590.558,0.662705,5.240
26,34.647,625.205,0.658186,5.531
27,32.960,658.165,0.682398,4.927
28,36.017,694.182,0.667942,4.978
29,34.548,728.730,0.646321,4.812
30,32.129,760.859,0.671918,4.682
31,35.369,796.228,0.699341,4.881
32,35.450,831.678,0.674595,5.024
33,35.926,867.604,0.669146,4.964
34,32.771,900.374,0.652569,5.262
35,36.105,936.480,0.671003,4.957
36,75.652,1012.132,1.029568,14.122
37,76.793,1088.925,0.972262,15.451
38,74.510,1163.435,0.930302,13.789
39,70.535,1233.970,0.930022,15.662
40,72.358,1306.328,0.941680,14.382
41,76.941,1383.269,0.962733,15.084
42,79.977,1463.245,0.907724,13.883
43,73.029,1536.275,0.941703,15.519
44,93.777,1630.051,0.939776,15.732
45,74.435,1704.486,0.931216,14.700
46,77.271,1781.757,0.907830,13.424
47,75.342,1857.099,0.929328,15.380
48,76.769,1933.868,0.910907,15.381
49,75.670,2009.538,0.925572,15.451
50,72.020,2081.558,0.893618,13.789
