epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.254,4.254,1.413347,1.883
2,4.473,8.728,1.147087,1.898
3,4.442,13.170,1.133473,1.883
4,4.581,17.751,1.071627,1.883
5,4.421,22.172,1.073081,1.937
6,4.305,26.477,0.942092,1.908
7,4.378,30.855,1.052732,1.839
8,4.359,35.213,1.043979,1.941
9,4.975,40.188,1.023036,1.928
10,4.596,44.784,0.945918,1.860
11,4.253,49.037,0.994158,1.913
12,4.513,53.550,1.125925,1.925
13,4.392,57.943,0.911605,1.941
14,5.015,62.958,1.110667,1.869
15,4.980,67.938,1.110435,1.948
16,4.822,72.760,1.094875,1.841
17,4.567,77.327,1.041184,1.925
18,4.491,81.817,1.086578,1.956
19,4.837,86.654,1.035594,1.841
20,4.763,91.417,1.006158,1.982
