epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.530,4.530,1.395046,1.978
2,4.803,9.332,1.060267,1.800
3,4.762,14.094,1.231953,1.870
4,4.759,18.853,1.031858,1.904
5,4.365,23.218,1.135632,1.873
6,4.609,27.827,1.017108,1.840
7,4.772,32.599,0.987984,1.971
8,3.413,36.012,0.741291,0.695
9,3.576,39.589,0.754967,0.685
10,3.307,42.896,0.821073,0.690
11,3.367,46.263,0.793142,0.699
12,3.234,49.497,0.820264,0.733
13,3.568,53.066,0.775804,0.694
14,3.294,56.360,0.805454,0.687
15,2.983,59.342,0.509699,0.260
16,3.168,62.510,0.499095,0.260
17,2.959,65.469,0.516938,0.258
18,2.915,68.384,0.492810,0.260
19,2.967,71.351,0.524238,0.260
20,3.133,74.484,0.498799,0.260
