epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.997,3.997,1.274848,0.713
2,5.183,9.181,1.092989,0.728
3,4.691,13.872,1.044563,0.657
4,37.469,51.340,1.075100,0.677
5,3.915,55.255,0.978480,0.665
6,4.209,59.464,1.036491,0.680
7,9.831,69.295,1.193156,0.665
8,4.828,74.123,1.076076,0.689
9,18.745,92.868,1.146231,0.649
10,4.212,97.080,1.014871,0.721
11,5.488,102.568,0.939519,0.667
12,19.989,122.557,1.045531,0.736
13,4.779,127.336,1.137646,0.688
14,4.760,132.096,0.941348,0.648
15,6.177,138.274,0.994249,0.643
16,5.217,143.491,0.965825,0.627
17,4.632,148.123,1.072039,0.668
18,6.176,154.298,1.087297,1.345
19,4.251,158.549,1.055634,1.311
20,4.422,162.972,0.923282,1.327
21,4.436,167.408,1.107461,1.277
22,4.426,171.834,0.931158,1.471
23,5.119,176.953,1.034597,1.369
24,4.196,181.149,0.977358,1.256
25,4.292,185.441,1.002956,1.277
26,4.614,190.055,0.927236,1.292
27,4.458,194.513,1.097031,1.374
28,4.433,198.946,1.118342,1.477
29,4.018,202.964,1.034991,1.298
30,4.445,207.409,0.934592,1.391
31,4.433,211.842,1.037063,1.470
32,4.247,216.089,1.083280,1.424
33,4.469,220.558,0.964581,1.347
34,4.286,224.844,1.032045,1.395
35,6.795,231.639,1.177538,1.346
36,4.817,236.456,1.075034,1.892
37,4.701,241.157,1.154873,1.923
38,4.519,245.676,1.009761,2.021
39,4.957,250.632,0.998155,1.983
40,4.780,255.412,1.036944,1.895
41,4.824,260.236,1.052334,1.916
42,4.691,264.927,0.941705,1.917
43,5.569,270.496,1.050728,1.887
44,4.584,275.080,0.957180,1.855
45,5.144,280.224,0.969204,2.014
46,4.561,284.784,1.079048,1.818
47,4.762,289.547,0.982231,1.907
48,4.407,293.954,0.880754,1.968
49,4.160,298.114,0.937541,1.852
50,4.545,302.659,0.864202,1.867
