epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,43.007,43.007,1.132297,0.929
2,40.161,83.169,0.998417,0.930
3,44.194,127.362,0.977939,0.934
4,40.291,167.653,0.999049,0.940
5,33.148,200.801,0.948473,0.938
6,39.781,240.581,0.966709,0.938
7,46.863,287.444,0.956317,0.940
8,41.005,328.449,0.967312,0.934
9,37.001,365.450,0.953841,0.938
10,42.909,408.359,0.939127,0.938
11,38.060,446.419,0.946634,0.914
12,34.134,480.553,0.903972,0.940
13,33.022,513.574,0.939177,0.938
14,42.282,555.856,0.942699,0.938
15,38.019,593.875,0.930342,0.938
16,34.287,628.162,0.919829,0.940
17,38.323,666.485,0.960470,0.934
18,35.055,701.540,0.926731,0.923
19,31.966,733.506,0.923567,0.929
20,39.014,772.519,0.917063,0.934
21,36.044,808.563,0.923629,0.940
22,37.429,845.993,0.933317,0.940
23,38.003,883.995,0.908328,0.940
24,31.157,915.153,0.950660,0.930
25,35.393,950.545,0.918383,0.929
