step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,27.31,101.38,1.158037,1.071568,0.5485,0.503,0.4883,0.503,0.5177,67.85,9666272678400.0,0.448
200,22.75,100.09,0.971412,1.037734,0.563,0.5127,0.5055,0.5149,0.5177,134.18,19320497913600.0,0.445
300,24.75,92.38,0.96157,1.024551,0.5645,0.5202,0.5166,0.5091,0.535,201.53,29210567673600.0,0.452
400,28.41,114.69,0.93208,1.010998,0.5786,0.5283,0.5269,0.5135,0.5445,268.88,38996209728000.0,0.448
500,27.94,105.19,0.863584,1.005733,0.5778,0.5394,0.5583,0.5153,0.5446,336.01,48782292422400.0,0.445
600,29.88,96.44,0.889326,0.996423,0.5762,0.5486,0.5676,0.5316,0.5466,402.9,58622614444800.0,0.445
700,24.72,111.84,0.907941,0.992981,0.5759,0.5534,0.5658,0.5378,0.5566,469.66,68245655155200.0,0.449
800,25.81,96.44,0.894618,0.988734,0.5794,0.557,0.5759,0.5397,0.5553,536.54,78122635833600.0,0.448
900,27.25,103.47,0.935826,0.984385,0.579,0.5587,0.5813,0.5365,0.5584,602.8,87732994406400.0,0.445
1000,25.75,93.72,0.977092,0.981369,0.5784,0.5651,0.5817,0.5454,0.5681,669.7,97451249472000.0,0.452
1100,25.62,98.25,0.891055,0.976439,0.5822,0.583,0.5944,0.5836,0.571,736.29,107113420742400.0,0.442
1200,29.25,88.25,0.961524,0.971472,0.5874,0.5855,0.5916,0.5945,0.5704,803.15,116840882419200.0,0.449
1300,27.56,98.84,1.068998,0.968197,0.5912,0.5844,0.5824,0.5988,0.572,869.62,126435674476800.0,0.444
1400,25.28,99.91,0.81228,0.965692,0.5923,0.5839,0.5768,0.6001,0.5749,936.47,136153093881600.0,0.447
1500,27.75,100.06,0.875544,0.962405,0.5923,0.5873,0.582,0.6025,0.5774,1002.76,145785763180800.0,0.449
1600,28.38,96.78,0.793221,0.958711,0.5947,0.5934,0.5893,0.6084,0.5826,1069.16,155506456108800.0,0.452
1700,23.69,108.56,0.900528,0.956861,0.5953,0.5943,0.5893,0.6092,0.5844,1135.69,165244151174400.0,0.449
1800,26.22,110.53,1.093004,0.954808,0.5958,0.5992,0.5958,0.6118,0.5898,1201.64,174922349817600.0,0.445
1900,22.16,108.62,0.820767,0.952541,0.5976,0.6018,0.6004,0.6127,0.5922,1268.05,184607736768000.0,0.447
2000,33.03,114.34,0.89343,0.950603,0.6001,0.6028,0.6031,0.6112,0.5942,1334.49,194228069356800.0,0.445
2100,30.97,92.41,0.963401,0.949435,0.6005,0.606,0.6082,0.615,0.5947,1401.36,204072036595200.0,0.448
2200,25.03,102.31,0.939573,0.948663,0.6004,0.6063,0.61,0.6145,0.5944,1467.53,213700613817600.0,0.449
2300,55.0,96.38,0.83109,0.947469,0.6027,0.605,0.6074,0.614,0.5935,1570.21,233185334112000.0,0.471
2400,58.0,103.06,1.052897,0.946924,0.6024,0.605,0.6072,0.6152,0.5927,1678.26,253590593356800.0,0.491
2500,59.59,86.91,0.8956,0.946644,0.6037,0.6043,0.6082,0.6151,0.5897,1790.41,274904142969600.0,0.512
