step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,22.69,98.09,0.817779,1.059711,0.559,0.5024,0.4847,0.5199,0.5026,62.23,7931126016000.0,0.371
200,25.78,106.53,1.094322,1.03672,0.5586,0.5278,0.5349,0.5291,0.5194,124.18,16025937004800.0,0.371
300,24.88,105.22,0.950835,1.018129,0.575,0.5146,0.4829,0.5275,0.5336,185.85,24013958112000.0,0.371
400,24.97,91.75,0.758787,1.008895,0.5734,0.5222,0.5036,0.5334,0.5297,247.71,32041688140800.0,0.371
500,19.25,98.69,1.093092,1.004301,0.5754,0.5281,0.519,0.5376,0.5276,309.49,39966850310400.0,0.371
600,25.09,97.22,0.997245,0.998838,0.5791,0.5397,0.5425,0.5444,0.5322,371.31,47926981843200.0,0.363
700,23.25,118.91,1.04465,0.994968,0.5799,0.5568,0.5547,0.5579,0.5578,433.4,55973112134400.0,0.371
800,26.22,100.34,0.977125,0.985643,0.5837,0.5841,0.5847,0.5985,0.5691,495.53,64029059020800.0,0.371
900,24.5,117.06,0.941397,0.977829,0.5901,0.5885,0.5794,0.6023,0.5837,557.47,72072359884800.0,0.371
1000,22.12,119.75,1.143412,0.974408,0.5911,0.5896,0.5735,0.6066,0.5888,619.17,80012158041600.0,0.365
1100,21.78,106.97,0.878595,0.972187,0.5909,0.5867,0.5785,0.5958,0.5858,680.77,88114893120000.0,0.371
1200,19.66,99.88,1.108825,0.967761,0.596,0.5885,0.5862,0.5935,0.5859,742.54,96166073836800.0,0.371
1300,18.75,103.31,0.798814,0.964813,0.5984,0.5894,0.5922,0.594,0.5821,803.9,104265883584000.0,0.362
1400,22.38,92.75,0.980254,0.962283,0.5977,0.5917,0.5929,0.6025,0.5798,865.72,112331250662400.0,0.371
1500,22.81,103.38,0.780829,0.960931,0.5972,0.5945,0.5977,0.6064,0.5795,927.5,120301076275200.0,0.371
1600,25.0,99.69,0.822366,0.958915,0.5973,0.5957,0.5987,0.6093,0.5791,989.52,128305334534400.0,0.362
1700,27.94,93.53,1.022905,0.957998,0.5972,0.5944,0.5967,0.6112,0.5755,1051.75,136377016934400.0,0.371
1800,52.97,99.16,0.870528,0.955442,0.5998,0.5972,0.5964,0.6178,0.5773,1115.47,144726468422400.0,0.447
1900,46.0,100.56,0.992759,0.954481,0.6007,0.5958,0.595,0.6163,0.5761,1201.44,160664311296000.0,0.393
2000,48.0,106.88,0.911713,0.953317,0.6001,0.5959,0.5957,0.616,0.5761,1290.62,177454018252800.0,0.409
2100,51.0,105.38,0.984663,0.952089,0.6016,0.5946,0.5926,0.6158,0.5755,1384.65,195108961075200.0,0.44
2200,53.0,93.22,0.903568,0.95104,0.6026,0.5937,0.5921,0.6159,0.5732,1483.57,213682968518400.0,0.451
2300,55.0,90.62,1.00581,0.950474,0.6035,0.5954,0.5975,0.6147,0.5741,1586.33,233137468166400.0,0.471
2400,58.0,105.78,0.951387,0.948847,0.6043,0.5983,0.5993,0.6214,0.5741,1694.03,253497069849600.0,0.492
2500,60.0,91.78,0.839251,0.947967,0.6056,0.6007,0.6013,0.6236,0.5773,1805.98,274781520115200.0,0.51
