step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,9.59,79.69,1.061788,1.066928,0.5445,0.5426,0.5481,0.5466,0.533,55.35,3374384486400.0,0.157
200,9.97,102.84,1.014155,1.037163,0.5629,0.543,0.5457,0.5412,0.5421,110.64,6701783788800.0,0.157
300,10.09,98.81,0.810283,1.017036,0.5736,0.5498,0.576,0.5289,0.5447,165.97,9996613920000.0,0.157
400,10.44,96.72,1.076696,1.00776,0.575,0.5573,0.5908,0.5397,0.5413,221.54,13337243481600.0,0.157
500,10.19,101.03,0.907761,1.000483,0.5749,0.5627,0.5898,0.5454,0.553,277.12,16646349657600.0,0.157
600,9.09,100.81,0.945777,0.989586,0.5784,0.5744,0.5986,0.5621,0.5626,332.43,19977431328000.0,0.157
700,23.81,97.88,0.85731,0.97866,0.5864,0.5896,0.6133,0.5823,0.5732,388.89,27009086169600.0,0.272
800,23.03,100.0,0.76626,0.971114,0.5953,0.5965,0.6172,0.5943,0.5781,445.58,35291131833600.0,0.272
900,22.84,102.25,1.155228,0.967023,0.5964,0.5956,0.6226,0.5902,0.574,502.15,43516847289600.0,0.272
1000,23.66,104.09,0.925526,0.964026,0.5971,0.5963,0.6264,0.5911,0.5712,558.55,51741652089600.0,0.272
1100,23.47,110.44,0.988332,0.961138,0.5961,0.5945,0.6197,0.5929,0.5707,615.27,59974754572800.0,0.268
1200,22.34,96.0,0.866668,0.959398,0.6006,0.5939,0.6151,0.5901,0.5766,671.89,68237889696000.0,0.267
1300,37.66,91.47,0.94134,0.956743,0.6032,0.5995,0.6186,0.5972,0.5828,736.47,79068716524800.0,0.385
1400,37.84,97.38,0.782345,0.954057,0.6015,0.6042,0.6219,0.6019,0.5888,809.07,92542398912000.0,0.385
1500,39.09,95.56,0.911786,0.953511,0.6007,0.606,0.627,0.603,0.588,881.68,105998973235200.0,0.385
1600,37.28,94.66,0.949755,0.952351,0.6017,0.6052,0.6276,0.6037,0.5844,954.47,119441795097600.0,0.385
1700,37.75,105.66,0.858024,0.951504,0.6001,0.6053,0.6219,0.6056,0.5884,1027.24,132886347552000.0,0.383
1800,37.12,97.78,0.776774,0.9498,0.6016,0.6042,0.6202,0.6117,0.5807,1100.18,146383701292800.0,0.383
1900,53.41,87.84,1.059498,0.94843,0.6011,0.6057,0.619,0.6158,0.5823,1179.49,161242204262400.0,0.509
2000,51.88,88.22,0.906319,0.947369,0.6001,0.606,0.6186,0.6181,0.5812,1277.49,180185156294400.0,0.505
2100,52.62,101.97,0.836905,0.946925,0.5997,0.6057,0.6183,0.6204,0.5785,1374.6,199107422956800.0,0.51
2200,53.44,85.31,0.716033,0.946469,0.6006,0.6055,0.6185,0.6185,0.5796,1471.75,218087282476800.0,0.51
2300,52.81,84.69,0.776863,0.947301,0.6,0.6045,0.6145,0.62,0.5791,1568.99,237049361740800.0,0.51
2400,52.03,108.72,0.995865,0.948848,0.5999,0.6018,0.6069,0.6211,0.5775,1666.18,255992945529600.0,0.505
2500,51.62,90.22,0.926707,0.950096,0.5998,0.5997,0.5987,0.6216,0.5787,1763.06,274899409804800.0,0.505
