step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,95.84,1.042941,1.129437,0.5463,0.5251,0.5257,0.5207,0.529,55.52,1340560281600.0,0.063
200,7.0,91.62,0.881879,1.092057,0.5534,0.5479,0.5609,0.5266,0.5562,111.01,3428892345600.0,0.102
300,9.0,86.41,1.111659,1.053553,0.5707,0.5787,0.5936,0.589,0.5536,166.13,6289114406400.0,0.102
400,11.0,101.84,0.909958,1.03924,0.5757,0.5952,0.6178,0.5946,0.5732,221.05,9891698400000.0,0.116
500,13.0,101.72,0.883517,1.025796,0.5811,0.5974,0.6159,0.5998,0.5766,276.63,14256157939200.0,0.133
600,16.0,112.12,0.849558,1.015207,0.5908,0.5984,0.6165,0.6073,0.5713,332.22,19410829286400.0,0.156
700,18.0,90.16,0.979156,1.004782,0.5937,0.6003,0.6181,0.6075,0.5754,388.48,25348161600000.0,0.172
800,20.0,92.94,0.965893,1.003367,0.5938,0.5992,0.6076,0.6099,0.58,444.43,32060141798400.0,0.187
900,23.0,108.34,0.963795,1.002099,0.5953,0.5986,0.605,0.6118,0.5791,499.73,39598467148800.0,0.21
1000,25.0,90.06,0.89734,1.002671,0.5885,0.5975,0.6036,0.6124,0.5765,555.17,47957551027200.0,0.225
1100,27.0,109.84,0.896132,1.001503,0.592,0.597,0.6003,0.6162,0.5746,611.8,57093271718400.0,0.242
1200,30.0,93.47,0.756188,0.998662,0.5915,0.5994,0.605,0.6198,0.5734,670.17,67042424736000.0,0.259
1300,32.0,87.91,0.878396,0.995932,0.5947,0.6019,0.6079,0.622,0.5759,731.29,77851431936000.0,0.28
1400,34.0,96.56,1.11502,0.996124,0.5951,0.6048,0.6156,0.6219,0.577,795.54,89491729651200.0,0.296
1500,37.0,91.09,0.815773,0.999281,0.5937,0.6045,0.6159,0.6225,0.5751,863.09,101974074854400.0,0.32
1600,39.0,97.44,0.972347,1.001972,0.5928,0.6073,0.6184,0.6235,0.5801,934.46,115348120588800.0,0.337
1700,41.0,110.84,0.869695,1.004378,0.593,0.608,0.6191,0.6238,0.5811,1010.45,129554861529600.0,0.35
1800,44.0,103.56,1.070771,1.003642,0.5929,0.6091,0.6225,0.6213,0.5836,1090.19,144610276320000.0,0.375
1900,46.0,95.31,1.126056,1.00046,0.5942,0.6115,0.627,0.622,0.5855,1174.18,160577556019200.0,0.393
2000,48.0,109.62,1.072788,1.00025,0.5935,0.6117,0.6273,0.6213,0.5864,1261.44,177396873984000.0,0.409
2100,51.0,109.53,0.923578,1.001273,0.594,0.6105,0.6274,0.6191,0.5849,1353.56,195096559910400.0,0.439
2200,53.0,108.97,0.979877,1.000292,0.5943,0.6098,0.6269,0.6197,0.5829,1449.49,213700613817600.0,0.449
2300,55.0,96.38,0.826839,1.00176,0.595,0.6085,0.6249,0.6201,0.5806,1548.94,233185334112000.0,0.47
2400,58.0,103.06,1.01299,1.003149,0.5926,0.6073,0.6212,0.621,0.5796,1653.12,253590593356800.0,0.492
2500,58.16,83.47,0.826472,1.003468,0.5928,0.6082,0.6208,0.6238,0.58,1761.37,274899103430400.0,0.51
