step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,95.84,1.042941,1.129437,0.5463,0.5251,0.5257,0.5207,0.529,52.46,1340560281600.0,0.063
200,7.0,91.62,0.881879,1.092057,0.5534,0.5479,0.5609,0.5266,0.5562,105.25,3428892345600.0,0.102
300,9.0,86.41,1.111659,1.053553,0.5707,0.5787,0.5936,0.589,0.5536,157.86,6289114406400.0,0.102
400,11.0,101.84,0.909958,1.03924,0.5757,0.5952,0.6178,0.5946,0.5732,210.38,9891698400000.0,0.116
500,13.0,101.72,0.883517,1.025796,0.5811,0.5974,0.6159,0.5998,0.5766,262.72,14256157939200.0,0.133
600,16.0,112.12,0.849558,1.015207,0.5908,0.5984,0.6165,0.6073,0.5713,315.26,19410829286400.0,0.156
700,18.0,90.16,0.979156,1.004782,0.5937,0.6003,0.6181,0.6075,0.5754,368.42,25348161600000.0,0.172
800,20.0,92.94,0.965893,1.003367,0.5938,0.5992,0.6076,0.6099,0.58,421.45,32060141798400.0,0.187
900,23.0,108.34,0.963795,1.002099,0.5953,0.5986,0.605,0.6118,0.5791,474.57,39598467148800.0,0.21
1000,25.0,90.06,0.89734,1.002671,0.5885,0.5975,0.6036,0.6124,0.5765,528.12,47957551027200.0,0.225
1100,27.0,109.84,0.896132,1.001503,0.592,0.597,0.6003,0.6162,0.5746,583.39,57093271718400.0,0.242
1200,30.0,93.47,0.756188,0.998662,0.5915,0.5994,0.605,0.6198,0.5734,640.58,67042424736000.0,0.259
1300,32.0,87.91,0.878396,0.995932,0.5947,0.6019,0.6079,0.622,0.5759,700.39,77851431936000.0,0.28
1400,34.0,96.56,1.11502,0.996124,0.5951,0.6048,0.6156,0.6219,0.577,763.58,89491729651200.0,0.296
1500,37.0,91.09,0.815773,0.999281,0.5937,0.6045,0.6159,0.6225,0.5751,830.22,101974074854400.0,0.32
1600,39.0,97.44,0.972347,1.001972,0.5928,0.6073,0.6184,0.6235,0.5801,900.78,115348120588800.0,0.337
1700,41.0,110.84,0.869695,1.004378,0.593,0.608,0.6191,0.6238,0.5811,976.06,129554861529600.0,0.35
1800,44.16,104.12,1.029592,1.003637,0.5929,0.6091,0.6225,0.6213,0.5836,1055.06,144610862976000.0,0.375
1900,52.22,80.03,0.685203,1.006873,0.5918,0.6121,0.6269,0.6269,0.5824,1150.18,163185936768000.0,0.506
2000,51.66,93.19,1.085716,1.006532,0.5925,0.613,0.6253,0.6296,0.584,1245.09,181808624736000.0,0.506
2100,51.78,93.97,0.879667,1.006474,0.5918,0.6129,0.625,0.6289,0.5848,1340.65,200435457139200.0,0.51
2200,51.5,104.81,0.780054,1.004459,0.5922,0.6138,0.6288,0.6302,0.5825,1436.68,219077743219200.0,0.506
2300,51.91,90.78,0.830567,1.003766,0.593,0.615,0.6332,0.6293,0.5826,1531.96,237662571571200.0,0.51
2400,50.59,96.78,1.072965,1.00226,0.5941,0.6148,0.6327,0.6274,0.5843,1627.34,256256491449600.0,0.506
2500,49.62,98.97,0.880838,1.001024,0.5938,0.6142,0.6327,0.6236,0.5862,1722.74,274899103430400.0,0.506
