step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,27.16,1.116764,0.967601,0.5853,0.504,0.4784,0.4798,0.5538,29.58,222486566400.0,0.559
200,28.16,1.024705,0.939112,0.5919,0.5158,0.5141,0.4969,0.5363,58.87,444927168000.0,0.559
300,33.25,0.929869,0.925374,0.5995,0.5211,0.5215,0.5277,0.514,88.14,667460275200.0,0.559
400,32.16,0.897999,0.923098,0.6005,0.5244,0.5267,0.5306,0.5157,117.4,889933132800.0,0.543
500,25.75,0.794621,0.916114,0.6051,0.5323,0.5269,0.5418,0.5283,146.67,1112386867200.0,0.554
600,24.62,0.892475,0.907806,0.6136,0.5429,0.5289,0.5416,0.5582,175.94,1334892902400.0,0.548
700,27.91,0.97247,0.901604,0.6165,0.5519,0.5434,0.5521,0.5603,205.21,1557388396800.0,0.554
800,29.16,0.870616,0.893985,0.6165,0.5704,0.5543,0.5628,0.5943,234.5,1779835276800.0,0.559
900,30.22,0.925742,0.889105,0.6196,0.5723,0.5597,0.5625,0.5947,263.76,2002241894400.0,0.559
1000,31.56,1.121233,0.884673,0.6219,0.5735,0.5705,0.5498,0.6002,293.01,2224698336000.0,0.559
1100,29.16,0.873401,0.879446,0.6275,0.5816,0.5803,0.5542,0.6102,322.26,2447200915200.0,0.547
1200,29.94,1.018852,0.875591,0.6298,0.5889,0.5888,0.5636,0.6144,351.51,2669624236800.0,0.549
1300,27.25,1.038317,0.874609,0.6314,0.5918,0.5897,0.5699,0.6158,380.77,2892118521600.0,0.558
1400,28.66,1.035335,0.873214,0.6322,0.5951,0.5945,0.5748,0.616,410.03,3114544838400.0,0.559
1500,29.81,0.967008,0.871977,0.6328,0.5979,0.5947,0.581,0.6181,439.29,3337044768000.0,0.559
1600,32.72,0.813877,0.870572,0.6355,0.5975,0.5949,0.5812,0.6165,468.55,3559593945600.0,0.554
1700,28.72,0.939425,0.870509,0.635,0.6001,0.5925,0.5877,0.6201,497.82,3782106086400.0,0.559
1800,33.34,0.781983,0.870082,0.6329,0.5979,0.5919,0.5872,0.6145,527.09,4004517139200.0,0.549
1900,26.34,0.61083,0.869178,0.6319,0.6005,0.5961,0.588,0.6175,556.36,4227008428800.0,0.554
2000,31.5,0.883798,0.867862,0.632,0.6005,0.5973,0.5848,0.6193,585.65,4449447072000.0,0.559
2100,29.97,0.883408,0.867124,0.6306,0.5994,0.5943,0.5841,0.6199,615.19,4671895852800.0,0.554
2200,33.34,0.885654,0.866611,0.6325,0.5995,0.5967,0.5813,0.6206,644.74,4894392153600.0,0.559
2300,34.97,0.663391,0.865131,0.6346,0.5977,0.5932,0.5819,0.6181,673.85,5116942425600.0,0.554
2400,26.88,1.17273,0.863919,0.6342,0.5976,0.5921,0.5828,0.618,702.92,5339511648000.0,0.554
2500,29.91,1.044765,0.863459,0.6345,0.5977,0.5963,0.5808,0.616,732.01,5562012211200.0,0.559
