step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,10.59,4.22,158.47,1.123113,1.044097,0.5486,0.5128,0.514,0.5,0.5244,28.68,218148710400.0,0.222
200,12.25,4.41,144.19,1.17685,1.019393,0.5595,0.5107,0.5091,0.5027,0.5203,57.09,437071680000.0,0.265
300,12.84,3.59,131.25,0.914501,1.002921,0.571,0.509,0.509,0.502,0.5159,85.62,656557574400.0,0.318
400,21.97,4.09,144.22,1.020098,0.99831,0.5673,0.5192,0.517,0.5094,0.5313,114.17,876533011200.0,0.345
500,18.0,3.75,122.47,0.930511,0.990339,0.5765,0.5353,0.541,0.5157,0.5493,142.85,1096830720000.0,0.377
600,28.84,3.44,142.41,0.959693,0.981965,0.5769,0.5372,0.5399,0.5105,0.5613,171.77,1317523680000.0,0.412
700,25.97,3.38,125.88,0.819491,0.97615,0.5785,0.5511,0.558,0.5274,0.5678,200.63,1538527968000.0,0.434
800,24.22,3.72,112.88,0.907564,0.969808,0.5821,0.5752,0.5806,0.563,0.5821,229.87,1759790016000.0,0.457
900,35.91,4.72,137.09,1.156622,0.965163,0.5854,0.5852,0.5888,0.5816,0.5851,259.2,1981373068800.0,0.488
1000,34.12,4.06,124.75,1.004791,0.960909,0.5923,0.5864,0.5953,0.58,0.5838,288.16,2203200633600.0,0.499
1100,23.91,4.38,89.66,1.034099,0.959799,0.5881,0.5887,0.5967,0.5789,0.5905,317.08,2425209523200.0,0.524
1200,34.12,3.81,111.0,0.912676,0.957002,0.5921,0.5869,0.5753,0.5934,0.5921,346.14,2647532793600.0,0.543
1300,31.16,4.69,96.31,1.132578,0.954206,0.595,0.592,0.5766,0.606,0.5933,374.92,2870000582400.0,0.558
1400,31.34,4.06,90.31,0.972188,0.953133,0.5933,0.5978,0.5848,0.6111,0.5976,404.01,3092698886400.0,0.549
1500,28.91,3.25,76.66,0.843228,0.95313,0.5923,0.6,0.5853,0.613,0.6017,433.28,3315674361600.0,0.536
1600,41.91,3.53,104.81,0.915246,0.953532,0.5932,0.6006,0.5846,0.6118,0.6052,462.55,3538811289600.0,0.522
1700,34.0,4.41,75.34,1.023844,0.954009,0.5946,0.601,0.5805,0.6145,0.6081,491.75,3762208166400.0,0.51
1800,41.16,3.59,86.81,0.823886,0.9535,0.5918,0.6,0.575,0.6164,0.6086,520.86,3985895116800.0,0.5
1900,42.19,4.34,80.59,0.983392,0.953595,0.5928,0.5969,0.5714,0.6111,0.6082,550.05,4209885158400.0,0.49
2000,38.88,3.31,62.06,0.856441,0.953345,0.5924,0.5966,0.5698,0.6114,0.6085,579.48,4434121440000.0,0.483
2100,51.53,3.97,85.97,0.934382,0.954127,0.5926,0.5948,0.5628,0.6125,0.6091,609.06,4658737766400.0,0.47
2200,47.25,3.62,62.19,0.836858,0.954413,0.5944,0.5932,0.5559,0.6117,0.612,638.87,4883754988800.0,0.461
2300,49.91,3.78,55.31,0.952289,0.954348,0.5922,0.5891,0.5464,0.6088,0.6122,668.44,5109199372800.0,0.452
2400,51.19,3.97,40.41,0.969315,0.954845,0.5914,0.5883,0.543,0.6085,0.6135,697.8,5335201382400.0,0.442
2500,59.59,4.88,21.47,1.207636,0.956717,0.5915,0.5882,0.5442,0.6065,0.6139,727.21,5562012211200.0,0.43
